========================================================================
  CRUISE-ONLY BATCH RUN #15
========================================================================
  cruise_altitude_m      : 43.96
  cruise_speed_mach      : 2.5133
  cruise_speed_mps       : 855.24
  sea_state              : 4
  radar_altimeter_bias_m : 1.1996
  air_temp_c             : -15.61
  termination            : reached_target
  total_steps            : 2339
========================================================================

       t_s             x_m         z_m            vx          vz      mach
------------------------------------------------------------------------
    0.0000     -19991.4476     45.1606      855.2402     -0.3981    2.5133
    0.0100     -19982.8952     45.1576      855.2402     -0.1962    2.5133
    0.0200     -19974.3428     45.1538      855.2402     -0.5672    2.5133
    0.0300     -19965.7904     45.1491      855.2402     -0.3653    2.5133
    0.0400     -19957.2380     45.1437      855.2402     -0.7238    2.5133
    0.0500     -19948.6856     45.1375      855.2402     -0.5219    2.5133
    0.0600     -19940.1332     45.1305      855.2402     -0.8684    2.5133
    0.0700     -19931.5808     45.1228      855.2402     -0.6665    2.5133
    0.0800     -19923.0284     45.1145      855.2402     -1.0017    2.5133
    0.0900     -19914.4760     45.1055      855.2401     -0.7998    2.5133
    0.1000     -19905.9236     45.0959      855.2401     -1.1242    2.5133
    0.1100     -19897.3712     45.0856      855.2401     -0.9223    2.5133
    0.1200     -19888.8188     45.0748      855.2401     -1.2365    2.5133
    0.1300     -19880.2664     45.0635      855.2401     -1.0346    2.5133
    0.1400     -19871.7140     45.0516      855.2401     -1.3392    2.5133
    0.1500     -19863.1616     45.0392      855.2401     -1.1373    2.5133
    0.1600     -19854.6092     45.0264      855.2401     -1.4327    2.5133
    0.1700     -19846.0568     45.0131      855.2401     -1.2308    2.5133
    0.1800     -19837.5044     44.9993      855.2401     -1.5176    2.5133
    0.1900     -19828.9520     44.9852      855.2401     -1.3157    2.5133
    0.2000     -19820.3996     44.9706      855.2401     -1.5944    2.5133
    0.2100     -19811.8472     44.9557      855.2401     -1.3925    2.5133
    0.2200     -19803.2948     44.9404      855.2401     -1.6635    2.5133
    0.2300     -19794.7424     44.9248      855.2401     -1.4616    2.5133
