========================================================================
  CRUISE-ONLY BATCH RUN #16
========================================================================
  cruise_altitude_m      : 38.36
  cruise_speed_mach      : 2.7853
  cruise_speed_mps       : 947.83
  sea_state              : 0
  radar_altimeter_bias_m : 1.2644
  air_temp_c             : 10.58
  termination            : reached_target
  total_steps            : 2111
========================================================================

       t_s             x_m         z_m            vx          vz      mach
------------------------------------------------------------------------
    0.0000     -19990.5217     39.6248      947.8265     -0.3981    2.7853
    0.0100     -19981.0435     39.6218      947.8265     -0.1962    2.7853
    0.0200     -19971.5652     39.6179      947.8265     -0.5719    2.7853
    0.0300     -19962.0869     39.6132      947.8265     -0.3700    2.7853
    0.0400     -19952.6087     39.6077      947.8265     -0.7329    2.7854
    0.0500     -19943.1304     39.6014      947.8265     -0.5310    2.7853
    0.0600     -19933.6521     39.5943      947.8265     -0.8815    2.7854
    0.0700     -19924.1739     39.5865      947.8265     -0.6796    2.7854
    0.0800     -19914.6956     39.5780      947.8265     -1.0185    2.7854
    0.0900     -19905.2173     39.5689      947.8265     -0.8166    2.7854
    0.1000     -19895.7391     39.5591      947.8265     -1.1445    2.7854
    0.1100     -19886.2608     39.5486      947.8265     -0.9426    2.7854
    0.1200     -19876.7826     39.5376      947.8265     -1.2600    2.7854
    0.1300     -19867.3043     39.5260      947.8265     -1.0581    2.7854
    0.1400     -19857.8260     39.5139      947.8265     -1.3657    2.7854
    0.1500     -19848.3478     39.5013      947.8265     -1.1638    2.7854
    0.1600     -19838.8695     39.4881      947.8265     -1.4619    2.7854
    0.1700     -19829.3912     39.4745      947.8265     -1.2600    2.7854
    0.1800     -19819.9130     39.4605      947.8265     -1.5493    2.7854
    0.1900     -19810.4347     39.4460      947.8265     -1.3474    2.7854
    0.2000     -19800.9564     39.4311      947.8265     -1.6284    2.7854
    0.2100     -19791.4782     39.4158      947.8265     -1.4265    2.7854
    0.2200     -19781.9999     39.4002      947.8265     -1.6995    2.7854
    0.2300     -19772.5216     39.3842      947.8265     -1.4976    2.7854
    0.2400     -19763.0434     39.3679      947.8265     -1.7631    2.7854
    0.2500     -19753.5651     39.3513      947.8265     -1.5612    2.7854
    0.2600     -19744.0868     39.3344      947.8265     -1.8198    2.7854
    0.2700     -19734.6086     39.3172      947.8265     -1.6179    2.7854
    0.2800     -19725.1303     39.2998      947.8265     -1.8697    2.7854
    0.2900     -19715.6520     39.2821      947.8265     -1.6678    2.7854
    0.3000     -19706.1738     39.2642      947.8265     -1.9134    2.7854
    0.3100     -19696.6955     39.2460      947.8265     -1.7115    2.7854
    0.3200     -19687.2173     39.2277      947.8265     -1.9512    2.7854
    0.3300     -19677.7390     39.2092      947.8265     -1.7493    2.7854
    0.3400     -19668.2607     39.1906      947.8265     -1.9835    2.7854
    0.3500     -19658.7825     39.1717      947.8265     -1.7816    2.7854
    0.3600     -19649.3042     39.1528      947.8264     -2.0106    2.7854
    0.3700     -19639.8259     39.1337      947.8264     -1.8087    2.7854
    0.3800     -19630.3477     39.1145      947.8264     -2.0328    2.7854
    0.3900     -19620.8694     39.0952      947.8264     -1.8309    2.7854
    0.4000     -19611.3911     39.0757      947.8264     -2.0504    2.7854
    0.4100     -19601.9129     39.0563      947.8264     -1.8485    2.7854
    0.4200     -19592.4346     39.0367      947.8264     -2.0637    2.7854
    0.4300     -19582.9563     39.0171      947.8264     -1.8618    2.7854
    0.4400     -19573.4781     38.9974      947.8264     -2.0730    2.7854
    0.4500     -19563.9998     38.9777      947.8264     -1.8711    2.7854
    0.4600     -19554.5216     38.9579      947.8264     -2.0786    2.7854
    0.4700     -19545.0433     38.9381      947.8264     -1.8767    2.7854
    0.4800     -19535.5650     38.9184      947.8264     -2.0806    2.7854
    0.4900     -19526.0868     38.8986      947.8264     -1.8787    2.7854
    0.5000     -19516.6085     38.8788      947.8264     -2.0794    2.7854
    0.5100     -19507.1302     38.8590      947.8264     -1.8775    2.7854
    0.5200     -19497.6520     38.8392      947.8264     -2.0752    2.7854
    0.5300     -19488.1737     38.8195      947.8264     -1.8733    2.7854
    0.5400     -19478.6954     38.7998      947.8264     -2.0681    2.7854
    0.5500     -19469.2172     38.7801      947.8264     -1.8662    2.7854
    0.5600     -19459.7389     38.7605      947.8264     -2.0584    2.7854
    0.5700     -19450.2606     38.7409      947.8264     -1.8565    2.7854
    0.5800     -19440.7824     38.7214      947.8264     -2.0463    2.7854
    0.5900     -19431.3041     38.7019      947.8264     -1.8444    2.7854
    0.6000     -19421.8259     38.6826      947.8264     -2.0320    2.7854
    0.6100     -19412.3476     38.6632      947.8264     -1.8301    2.7854
    0.6200     -19402.8693     38.6440      947.8264     -2.0156    2.7854
    0.6300     -19393.3911     38.6249      947.8263     -1.8137    2.7854
    0.6400     -19383.9128     38.6058      947.8263     -1.9973    2.7854
    0.6500     -19374.4345     38.5869      947.8263     -1.7954    2.7854
    0.6600     -19364.9563     38.5680      947.8263     -1.9772    2.7854
    0.6700     -19355.4780     38.5492      947.8263     -1.7753    2.7854
    0.6800     -19345.9998     38.5306      947.8263     -1.9556    2.7854
    0.6900     -19336.5215     38.5120      947.8263     -1.7537    2.7854
    0.7000     -19327.0432     38.4936      947.8263     -1.9325    2.7854
    0.7100     -19317.5650     38.4753      947.8263     -1.7306    2.7854
    0.7200     -19308.0867     38.4571      947.8263     -1.9080    2.7854
    0.7300     -19298.6084     38.4390      947.8263     -1.7061    2.7854
    0.7400     -19289.1302     38.4211      947.8263     -1.8824    2.7854
    0.7500     -19279.6519     38.4033      947.8263     -1.6805    2.7854
    0.7600     -19270.1736     38.3856      947.8263     -1.8557    2.7854
    0.7700     -19260.6954     38.3680      947.8263     -1.6538    2.7854
    0.7800     -19251.2171     38.3506      947.8263     -1.8281    2.7854
    0.7900     -19241.7389     38.3334      947.8263     -1.6262    2.7854
    0.8000     -19232.2606     38.3162      947.8263     -1.7996    2.7854
    0.8100     -19222.7823     38.2992      947.8263     -1.5977    2.7854
    0.8200     -19213.3041     38.2824      947.8263     -1.7703    2.7854
    0.8300     -19203.8258     38.2657      947.8263     -1.5684    2.7854
    0.8400     -19194.3475     38.2492      947.8263     -1.7404    2.7854
    0.8500     -19184.8693     38.2328      947.8263     -1.5385    2.7854
    0.8600     -19175.3910     38.2165      947.8263     -1.7099    2.7854
    0.8700     -19165.9128     38.2004      947.8263     -1.5080    2.7854
    0.8800     -19156.4345     38.1845      947.8263     -1.6789    2.7854
    0.8900     -19146.9562     38.1687      947.8263     -1.4770    2.7854
    0.9000     -19137.4780     38.1531      947.8263     -1.6475    2.7854
    0.9100     -19127.9997     38.1376      947.8263     -1.4456    2.7854
    0.9200     -19118.5214     38.1223      947.8263     -1.6158    2.7854
    0.9300     -19109.0432     38.1072      947.8263     -1.4139    2.7854
    0.9400     -19099.5649     38.0922      947.8263     -1.5838    2.7854
    0.9500     -19090.0867     38.0774      947.8263     -1.3819    2.7854
    0.9600     -19080.6084     38.0627      947.8263     -1.5515    2.7854
    0.9700     -19071.1301     38.0482      947.8263     -1.3496    2.7854
    0.9800     -19061.6519     38.0338      947.8263     -1.5192    2.7854
    0.9900     -19052.1736     38.0197      947.8263     -1.3173    2.7854
    1.0000     -19042.6953     38.0056      947.8263     -1.4867    2.7854
    1.0100     -19033.2171     37.9918      947.8263     -1.2848    2.7854
    1.0200     -19023.7388     37.9781      947.8263     -1.4543    2.7854
    1.0300     -19014.2606     37.9646      947.8262     -1.2524    2.7854
    1.0400     -19004.7823     37.9512      947.8262     -1.4218    2.7854
    1.0500     -18995.3040     37.9380      947.8262     -1.2199    2.7854
    1.0600     -18985.8258     37.9249      947.8262     -1.3894    2.7854
    1.0700     -18976.3475     37.9120      947.8262     -1.1875    2.7854
    1.0800     -18966.8692     37.8993      947.8262     -1.3571    2.7854
    1.0900     -18957.3910     37.8868      947.8262     -1.1552    2.7854
    1.1000     -18947.9127     37.8744      947.8262     -1.3249    2.7854
    1.1100     -18938.4345     37.8621      947.8262     -1.1230    2.7854
    1.1200     -18928.9562     37.8500      947.8262     -1.2929    2.7854
    1.1300     -18919.4779     37.8381      947.8262     -1.0910    2.7854
    1.1400     -18909.9997     37.8264      947.8262     -1.2611    2.7854
    1.1500     -18900.5214     37.8148      947.8262     -1.0592    2.7854
    1.1600     -18891.0431     37.8033      947.8262     -1.2296    2.7854
    1.1700     -18881.5649     37.7920      947.8262     -1.0277    2.7854
    1.1800     -18872.0866     37.7809      947.8262     -1.1983    2.7854
    1.1900     -18862.6084     37.7699      947.8262     -0.9964    2.7854
    1.2000     -18853.1301     37.7591      947.8262     -1.1674    2.7854
    1.2100     -18843.6518     37.7484      947.8262     -0.9655    2.7853
    1.2200     -18834.1736     37.7379      947.8262     -1.1368    2.7854
    1.2300     -18824.6953     37.7276      947.8262     -0.9349    2.7853
    1.2400     -18815.2170     37.7174      947.8262     -1.1065    2.7854
    1.2500     -18805.7388     37.7073      947.8262     -0.9046    2.7853
    1.2600     -18796.2605     37.6974      947.8262     -1.0765    2.7854
    1.2700     -18786.7823     37.6876      947.8262     -0.8746    2.7853
    1.2800     -18777.3040     37.6780      947.8262     -1.0470    2.7854
    1.2900     -18767.8257     37.6686      947.8262     -0.8451    2.7853
    1.3000     -18758.3475     37.6593      947.8262     -1.0178    2.7854
    1.3100     -18748.8692     37.6501      947.8262     -0.8159    2.7853
    1.3200     -18739.3909     37.6411      947.8262     -0.9891    2.7853
    1.3300     -18729.9127     37.6322      947.8262     -0.7872    2.7853
    1.3400     -18720.4344     37.6234      947.8262     -0.9608    2.7853
    1.3500     -18710.9562     37.6148      947.8262     -0.7589    2.7853
    1.3600     -18701.4779     37.6064      947.8262     -0.9329    2.7853
    1.3700     -18691.9996     37.5981      947.8262     -0.7310    2.7853
    1.3800     -18682.5214     37.5899      947.8262     -0.9055    2.7853
    1.3900     -18673.0431     37.5818      947.8262     -0.7036    2.7853
    1.4000     -18663.5648     37.5739      947.8262     -0.8786    2.7853
    1.4100     -18654.0866     37.5662      947.8262     -0.6767    2.7853
    1.4200     -18644.6083     37.5585      947.8262     -0.8521    2.7853
    1.4300     -18635.1301     37.5510      947.8262     -0.6502    2.7853
    1.4400     -18625.6518     37.5436      947.8262     -0.8261    2.7853
    1.4500     -18616.1735     37.5364      947.8262     -0.6242    2.7853
    1.4600     -18606.6953     37.5292      947.8262     -0.8005    2.7853
    1.4700     -18597.2170     37.5222      947.8262     -0.5986    2.7853
    1.4800     -18587.7387     37.5154      947.8262     -0.7755    2.7853
    1.4900     -18578.2605     37.5086      947.8262     -0.5736    2.7853
    1.5000     -18568.7822     37.5020      947.8262     -0.7509    2.7853
    1.5100     -18559.3040     37.4955      947.8262     -0.5490    2.7853
    1.5200     -18549.8257     37.4891      947.8262     -0.7268    2.7853
    1.5300     -18540.3474     37.4829      947.8262     -0.5249    2.7853
    1.5400     -18530.8692     37.4767      947.8262     -0.7032    2.7853
    1.5500     -18521.3909     37.4707      947.8262     -0.5013    2.7853
    1.5600     -18511.9126     37.4648      947.8262     -0.6801    2.7853
    1.5700     -18502.4344     37.4590      947.8262     -0.4782    2.7853
    1.5800     -18492.9561     37.4533      947.8262     -0.6575    2.7853
    1.5900     -18483.4779     37.4478      947.8262     -0.4556    2.7853
    1.6000     -18473.9996     37.4423      947.8262     -0.6354    2.7853
    1.6100     -18464.5213     37.4370      947.8262     -0.4335    2.7853
    1.6200     -18455.0431     37.4317      947.8262     -0.6137    2.7853
    1.6300     -18445.5648     37.4266      947.8262     -0.4118    2.7853
    1.6400     -18436.0866     37.4216      947.8262     -0.5926    2.7853
    1.6500     -18426.6083     37.4167      947.8262     -0.3907    2.7853
    1.6600     -18417.1300     37.4119      947.8262     -0.5719    2.7853
    1.6700     -18407.6518     37.4071      947.8262     -0.3700    2.7853
    1.6800     -18398.1735     37.4025      947.8262     -0.5517    2.7853
    1.6900     -18388.6952     37.3980      947.8262     -0.3498    2.7853
    1.7000     -18379.2170     37.3936      947.8262     -0.5320    2.7853
    1.7100     -18369.7387     37.3893      947.8262     -0.3301    2.7853
    1.7200     -18360.2605     37.3851      947.8262     -0.5127    2.7853
    1.7300     -18350.7822     37.3810      947.8262     -0.3108    2.7853
    1.7400     -18341.3039     37.3770      947.8262     -0.4939    2.7853
    1.7500     -18331.8257     37.3730      947.8262     -0.2920    2.7853
    1.7600     -18322.3474     37.3692      947.8262     -0.4756    2.7853
    1.7700     -18312.8691     37.3654      947.8262     -0.2737    2.7853
    1.7800     -18303.3909     37.3618      947.8262     -0.4578    2.7853
    1.7900     -18293.9126     37.3582      947.8262     -0.2559    2.7853
    1.8000     -18284.4344     37.3547      947.8262     -0.4404    2.7853
    1.8100     -18274.9561     37.3513      947.8262     -0.2385    2.7853
    1.8200     -18265.4778     37.3480      947.8262     -0.4234    2.7853
    1.8300     -18255.9996     37.3448      947.8262     -0.2215    2.7853
    1.8400     -18246.5213     37.3417      947.8262     -0.4069    2.7853
    1.8500     -18237.0430     37.3386      947.8262     -0.2050    2.7853
    1.8600     -18227.5648     37.3356      947.8262     -0.3908    2.7853
    1.8700     -18218.0865     37.3327      947.8262     -0.1889    2.7853
    1.8800     -18208.6083     37.3299      947.8262     -0.3752    2.7853
    1.8900     -18199.1300     37.3272      947.8262     -0.1733    2.7853
    1.9000     -18189.6517     37.3245      947.8262     -0.3600    2.7853
    1.9100     -18180.1735     37.3219      947.8262     -0.1581    2.7853
    1.9200     -18170.6952     37.3194      947.8262     -0.3452    2.7853
    1.9300     -18161.2169     37.3169      947.8262     -0.1433    2.7853
    1.9400     -18151.7387     37.3146      947.8262     -0.3308    2.7853
    1.9500     -18142.2604     37.3123      947.8262     -0.1289    2.7853
    1.9600     -18132.7822     37.3100      947.8262     -0.3168    2.7853
    1.9700     -18123.3039     37.3079      947.8262     -0.1149    2.7853
    1.9800     -18113.8256     37.3058      947.8262     -0.3032    2.7853
    1.9900     -18104.3474     37.3038      947.8262     -0.1013    2.7853
    2.0000     -18094.8691     37.3018      947.8262     -0.2900    2.7853
    2.0100     -18085.3908     37.2999      947.8262     -0.0881    2.7853
    2.0200     -18075.9126     37.2981      947.8262     -0.2771    2.7853
    2.0300     -18066.4343     37.2963      947.8262     -0.0752    2.7853
    2.0400     -18056.9561     37.2946      947.8262     -0.2647    2.7853
    2.0500     -18047.4778     37.2930      947.8262     -0.0628    2.7853
    2.0600     -18037.9995     37.2914      947.8262     -0.2526    2.7853
    2.0700     -18028.5213     37.2899      947.8262     -0.0507    2.7853
    2.0800     -18019.0430     37.2885      947.8262     -0.2409    2.7853
    2.0900     -18009.5647     37.2871      947.8263     -0.0390    2.7853
    2.1000     -18000.0865     37.2857      947.8263     -0.2295    2.7853
    2.1100     -17990.6082     37.2844      947.8263     -0.0276    2.7853
    2.1200     -17981.1300     37.2832      947.8263     -0.2185    2.7853
    2.1300     -17971.6517     37.2820      947.8263     -0.0166    2.7853
    2.1400     -17962.1734     37.2809      947.8263     -0.2078    2.7853
    2.1500     -17952.6952     37.2798      947.8263     -0.0059    2.7853
    2.1600     -17943.2169     37.2788      947.8263     -0.1974    2.7853
    2.1700     -17933.7386     37.2779      947.8263      0.0045    2.7853
    2.1800     -17924.2604     37.2769      947.8263     -0.1874    2.7853
    2.1900     -17914.7821     37.2761      947.8263      0.0145    2.7853
    2.2000     -17905.3039     37.2753      947.8263     -0.1777    2.7853
    2.2100     -17895.8256     37.2745      947.8263      0.0242    2.7853
    2.2200     -17886.3473     37.2738      947.8263     -0.1683    2.7853
    2.2300     -17876.8691     37.2731      947.8263      0.0336    2.7853
    2.2400     -17867.3908     37.2725      947.8263     -0.1592    2.7853
    2.2500     -17857.9125     37.2719      947.8263      0.0427    2.7853
    2.2600     -17848.4343     37.2713      947.8263     -0.1503    2.7853
    2.2700     -17838.9560     37.2709      947.8263      0.0516    2.7853
    2.2800     -17829.4778     37.2704      947.8263     -0.1418    2.7853
    2.2900     -17819.9995     37.2700      947.8263      0.0601    2.7853
    2.3000     -17810.5212     37.2696      947.8263     -0.1336    2.7853
    2.3100     -17801.0430     37.2693      947.8263      0.0683    2.7853
    2.3200     -17791.5647     37.2690      947.8263     -0.1256    2.7853
    2.3300     -17782.0864     37.2688      947.8263      0.0763    2.7853
    2.3400     -17772.6082     37.2686      947.8263     -0.1179    2.7853
    2.3500     -17763.1299     37.2684      947.8263      0.0840    2.7853
    2.3600     -17753.6517     37.2683      947.8263     -0.1105    2.7853
    2.3700     -17744.1734     37.2682      947.8263      0.0914    2.7853
    2.3800     -17734.6951     37.2681      947.8263     -0.1033    2.7853
    2.3900     -17725.2169     37.2681      947.8263      0.0986    2.7853
    2.4000     -17715.7386     37.2681      947.8263     -0.0964    2.7853
    2.4100     -17706.2603     37.2681      947.8263      0.1055    2.7853
    2.4200     -17696.7821     37.2682      947.8263     -0.0897    2.7853
    2.4300     -17687.3038     37.2683      947.8263      0.1122    2.7853
    2.4400     -17677.8256     37.2685      947.8263     -0.0832    2.7853
    2.4500     -17668.3473     37.2687      947.8263      0.1187    2.7853
    2.4600     -17658.8690     37.2689      947.8263     -0.0770    2.7853
    2.4700     -17649.3908     37.2691      947.8263      0.1249    2.7853
    2.4800     -17639.9125     37.2694      947.8263     -0.0710    2.7853
    2.4900     -17630.4342     37.2697      947.8263      0.1309    2.7853
    2.5000     -17620.9560     37.2700      947.8263     -0.0652    2.7853
    2.5100     -17611.4777     37.2704      947.8263      0.1367    2.7853
    2.5200     -17601.9995     37.2707      947.8263     -0.0596    2.7853
    2.5300     -17592.5212     37.2712      947.8263      0.1423    2.7853
    2.5400     -17583.0429     37.2716      947.8263     -0.0542    2.7853
    2.5500     -17573.5647     37.2721      947.8263      0.1477    2.7853
    2.5600     -17564.0864     37.2726      947.8263     -0.0491    2.7853
    2.5700     -17554.6081     37.2731      947.8263      0.1528    2.7853
    2.5800     -17545.1299     37.2736      947.8263     -0.0441    2.7853
    2.5900     -17535.6516     37.2742      947.8263      0.1578    2.7853
    2.6000     -17526.1733     37.2748      947.8263     -0.0393    2.7853
    2.6100     -17516.6951     37.2754      947.8263      0.1626    2.7853
    2.6200     -17507.2168     37.2760      947.8263     -0.0347    2.7853
    2.6300     -17497.7386     37.2767      947.8263      0.1672    2.7853
    2.6400     -17488.2603     37.2774      947.8263     -0.0303    2.7853
    2.6500     -17478.7820     37.2781      947.8263      0.1716    2.7853
    2.6600     -17469.3038     37.2788      947.8263     -0.0260    2.7853
    2.6700     -17459.8255     37.2796      947.8263      0.1759    2.7853
    2.6800     -17450.3472     37.2803      947.8263     -0.0219    2.7853
    2.6900     -17440.8690     37.2811      947.8263      0.1800    2.7853
    2.7000     -17431.3907     37.2819      947.8263     -0.0180    2.7853
    2.7100     -17421.9125     37.2828      947.8263      0.1839    2.7853
    2.7200     -17412.4342     37.2836      947.8263     -0.0142    2.7853
    2.7300     -17402.9559     37.2845      947.8263      0.1877    2.7853
    2.7400     -17393.4777     37.2854      947.8263     -0.0106    2.7853
    2.7500     -17383.9994     37.2863      947.8263      0.1913    2.7853
    2.7600     -17374.5211     37.2872      947.8263     -0.0071    2.7853
    2.7700     -17365.0429     37.2881      947.8263      0.1948    2.7853
    2.7800     -17355.5646     37.2891      947.8263     -0.0038    2.7853
    2.7900     -17346.0864     37.2901      947.8263      0.1981    2.7853
    2.8000     -17336.6081     37.2910      947.8263     -0.0006    2.7853
    2.8100     -17327.1298     37.2920      947.8263      0.2013    2.7853
    2.8200     -17317.6516     37.2931      947.8263      0.0024    2.7853
    2.8300     -17308.1733     37.2941      947.8263      0.2043    2.7853
    2.8400     -17298.6950     37.2951      947.8263      0.0053    2.7853
    2.8500     -17289.2168     37.2962      947.8263      0.2072    2.7853
    2.8600     -17279.7385     37.2973      947.8263      0.0081    2.7853
