========================================================================
  CRUISE-ONLY BATCH RUN #08
========================================================================
  cruise_altitude_m      : 54.80
  cruise_speed_mach      : 2.6328
  cruise_speed_mps       : 895.93
  sea_state              : 1
  radar_altimeter_bias_m : 1.7146
  air_temp_c             : 36.10
  termination            : reached_target
  total_steps            : 2233
========================================================================

       t_s             x_m         z_m            vx          vz      mach
------------------------------------------------------------------------
    0.0000     -19991.0407     56.5080      895.9280     -0.3981    2.6328
    0.0100     -19982.0814     56.5051      895.9280     -0.1962    2.6328
    0.0200     -19973.1222     56.5011      895.9280     -0.5943    2.6328
    0.0300     -19964.1629     56.4962      895.9280     -0.3924    2.6328
    0.0400     -19955.2036     56.4903      895.9280     -0.7863    2.6328
    0.0500     -19946.2443     56.4834      895.9280     -0.5844    2.6328
    0.0600     -19937.2850     56.4757      895.9280     -0.9637    2.6328
    0.0700     -19928.3258     56.4671      895.9280     -0.7618    2.6328
    0.0800     -19919.3665     56.4576      895.9280     -1.1275    2.6328
    0.0900     -19910.4072     56.4474      895.9280     -0.9256    2.6328
    0.1000     -19901.4479     56.4363      895.9280     -1.2782    2.6328
    0.1100     -19892.4886     56.4246      895.9280     -1.0763    2.6328
    0.1200     -19883.5294     56.4121      895.9280     -1.4167    2.6328
    0.1300     -19874.5701     56.3989      895.9280     -1.2148    2.6328
    0.1400     -19865.6108     56.3852      895.9280     -1.5434    2.6328
    0.1500     -19856.6515     56.3707      895.9280     -1.3415    2.6328
    0.1600     -19847.6922     56.3557      895.9280     -1.6590    2.6328
    0.1700     -19838.7330     56.3401      895.9280     -1.4571    2.6328
    0.1800     -19829.7737     56.3240      895.9280     -1.7642    2.6328
    0.1900     -19820.8144     56.3074      895.9280     -1.5623    2.6328
    0.2000     -19811.8551     56.2903      895.9280     -1.8595    2.6328
    0.2100     -19802.8958     56.2727      895.9280     -1.6576    2.6328
    0.2200     -19793.9366     56.2547      895.9280     -1.9454    2.6328
    0.2300     -19784.9773     56.2363      895.9279     -1.7435    2.6328
    0.2400     -19776.0180     56.2174      895.9279     -2.0225    2.6328
    0.2500     -19767.0587     56.1982      895.9279     -1.8206    2.6328
    0.2600     -19758.0994     56.1786      895.9279     -2.0913    2.6328
    0.2700     -19749.1402     56.1587      895.9279     -1.8894    2.6328
    0.2800     -19740.1809     56.1385      895.9279     -2.1522    2.6328
    0.2900     -19731.2216     56.1180      895.9279     -1.9503    2.6328
    0.3000     -19722.2623     56.0972      895.9279     -2.2057    2.6328
    0.3100     -19713.3031     56.0762      895.9279     -2.0038    2.6328
    0.3200     -19704.3438     56.0549      895.9279     -2.2522    2.6328
