========================================================================
  CRUISE-ONLY BATCH RUN #18
========================================================================
  cruise_altitude_m      : 47.16
  cruise_speed_mach      : 1.9134
  cruise_speed_mps       : 651.12
  sea_state              : 2
  radar_altimeter_bias_m : 0.2928
  air_temp_c             : 21.20
  termination            : reached_target
  total_steps            : 3072
========================================================================

       t_s             x_m         z_m            vx          vz      mach
------------------------------------------------------------------------
    0.0000     -19993.4888     47.4541      651.1161     -0.3981    1.9134
    0.0100     -19986.9777     47.4511      651.1161     -0.1962    1.9134
    0.0200     -19980.4665     47.4476      651.1161     -0.5016    1.9134
    0.0300     -19973.9554     47.4436      651.1161     -0.2997    1.9134
    0.0400     -19967.4442     47.4391      651.1161     -0.5972    1.9134
    0.0500     -19960.9330     47.4341      651.1161     -0.3953    1.9134
    0.0600     -19954.4219     47.4287      651.1161     -0.6851    1.9134
    0.0700     -19947.9107     47.4229      651.1161     -0.4832    1.9134
    0.0800     -19941.3995     47.4167      651.1161     -0.7658    1.9134
    0.0900     -19934.8884     47.4100      651.1161     -0.5639    1.9134
    0.1000     -19928.3772     47.4030      651.1161     -0.8397    1.9134
    0.1100     -19921.8661     47.3956      651.1161     -0.6378    1.9134
    0.1200     -19915.3549     47.3879      651.1161     -0.9072    1.9134
    0.1300     -19908.8437     47.3798      651.1161     -0.7053    1.9134
    0.1400     -19902.3326     47.3714      651.1161     -0.9686    1.9134
    0.1500     -19895.8214     47.3628      651.1161     -0.7667    1.9134
    0.1600     -19889.3103     47.3538      651.1161     -1.0242    1.9134
    0.1700     -19882.7991     47.3446      651.1161     -0.8223    1.9134
    0.1800     -19876.2879     47.3351      651.1161     -1.0743    1.9134
    0.1900     -19869.7768     47.3254      651.1161     -0.8724    1.9134
    0.2000     -19863.2656     47.3154      651.1161     -1.1193    1.9134
    0.2100     -19856.7545     47.3052      651.1161     -0.9174    1.9134
    0.2200     -19850.2433     47.2948      651.1161     -1.1595    1.9134
    0.2300     -19843.7321     47.2842      651.1161     -0.9576    1.9134
    0.2400     -19837.2210     47.2735      651.1161     -1.1950    1.9134
    0.2500     -19830.7098     47.2625      651.1161     -0.9931    1.9134
    0.2600     -19824.1986     47.2514      651.1161     -1.2263    1.9134
    0.2700     -19817.6875     47.2402      651.1161     -1.0244    1.9134
    0.2800     -19811.1763     47.2288      651.1161     -1.2534    1.9134
    0.2900     -19804.6652     47.2173      651.1161     -1.0515    1.9134
    0.3000     -19798.1540     47.2056      651.1161     -1.2768    1.9134
