========================================================================
  CRUISE-ONLY BATCH RUN #10
========================================================================
  cruise_altitude_m      : 28.20
  cruise_speed_mach      : 0.9528
  cruise_speed_mps       : 324.24
  sea_state              : 2
  radar_altimeter_bias_m : -0.3026
  air_temp_c             : 16.06
  termination            : reached_target
  total_steps            : 6169
========================================================================

       t_s             x_m         z_m            vx          vz      mach
------------------------------------------------------------------------
    0.0000     -19996.7576     27.8942      324.2365      0.2019    0.9528
    0.0100     -19993.5153     27.8948      324.2365     -0.0897    0.9528
    0.0200     -19990.2729     27.8949      324.2365      0.1122    0.9528
    0.0300     -19987.0305     27.8946      324.2365     -0.1728    0.9528
    0.0400     -19983.7882     27.8939      324.2365      0.0291    0.9528
    0.0500     -19980.5458     27.8928      324.2365     -0.2499    0.9528
    0.0600     -19977.3034     27.8913      324.2365     -0.0480    0.9528
    0.0700     -19974.0611     27.8894      324.2365     -0.3211    0.9528
    0.0800     -19970.8187     27.8872      324.2365     -0.1192    0.9528
    0.0900     -19967.5764     27.8847      324.2365     -0.3867    0.9528
    0.1000     -19964.3340     27.8819      324.2365     -0.1848    0.9528
    0.1100     -19961.0916     27.8787      324.2365     -0.4471    0.9528
    0.1200     -19957.8493     27.8752      324.2365     -0.2452    0.9528
    0.1300     -19954.6069     27.8715      324.2365     -0.5026    0.9528
    0.1400     -19951.3645     27.8675      324.2365     -0.3007    0.9528
    0.1500     -19948.1222     27.8632      324.2365     -0.5533    0.9528
    0.1600     -19944.8798     27.8587      324.2365     -0.3514    0.9528
    0.1700     -19941.6374     27.8539      324.2365     -0.5996    0.9528
    0.1800     -19938.3951     27.8489      324.2365     -0.3977    0.9528
    0.1900     -19935.1527     27.8437      324.2365     -0.6416    0.9528
    0.2000     -19931.9103     27.8383      324.2365     -0.4397    0.9528
    0.2100     -19928.6680     27.8327      324.2365     -0.6797    0.9528
    0.2200     -19925.4256     27.8270      324.2365     -0.4778    0.9528
    0.2300     -19922.1832     27.8210      324.2365     -0.7140    0.9528
    0.2400     -19918.9409     27.8149      324.2365     -0.5121    0.9528
    0.2500     -19915.6985     27.8086      324.2365     -0.7448    0.9528
    0.2600     -19912.4562     27.8021      324.2365     -0.5429    0.9528
    0.2700     -19909.2138     27.7956      324.2365     -0.7722    0.9528
    0.2800     -19905.9714     27.7889      324.2365     -0.5703    0.9528
    0.2900     -19902.7291     27.7820      324.2365     -0.7964    0.9528
    0.3000     -19899.4867     27.7751      324.2365     -0.5945    0.9528
    0.3100     -19896.2443     27.7680      324.2365     -0.8177    0.9528
    0.3200     -19893.0020     27.7608      324.2365     -0.6158    0.9528
    0.3300     -19889.7596     27.7536      324.2365     -0.8362    0.9528
    0.3400     -19886.5172     27.7462      324.2365     -0.6343    0.9528
    0.3500     -19883.2749     27.7388      324.2365     -0.8520    0.9528
    0.3600     -19880.0325     27.7313      324.2365     -0.6501    0.9528
    0.3700     -19876.7901     27.7237      324.2364     -0.8653    0.9528
    0.3800     -19873.5478     27.7161      324.2364     -0.6634    0.9528
    0.3900     -19870.3054     27.7084      324.2364     -0.8764    0.9528
    0.4000     -19867.0630     27.7006      324.2364     -0.6745    0.9528
    0.4100     -19863.8207     27.6928      324.2364     -0.8852    0.9528
    0.4200     -19860.5783     27.6850      324.2364     -0.6833    0.9528
    0.4300     -19857.3360     27.6771      324.2364     -0.8920    0.9528
    0.4400     -19854.0936     27.6692      324.2364     -0.6901    0.9528
    0.4500     -19850.8512     27.6612      324.2364     -0.8969    0.9528
    0.4600     -19847.6089     27.6533      324.2364     -0.6950    0.9528
    0.4700     -19844.3665     27.6453      324.2364     -0.9000    0.9528
    0.4800     -19841.1241     27.6373      324.2364     -0.6981    0.9528
    0.4900     -19837.8818     27.6293      324.2364     -0.9015    0.9528
    0.5000     -19834.6394     27.6213      324.2364     -0.6996    0.9528
    0.5100     -19831.3970     27.6133      324.2364     -0.9014    0.9528
    0.5200     -19828.1547     27.6053      324.2364     -0.6995    0.9528
    0.5300     -19824.9123     27.5973      324.2364     -0.8998    0.9528
    0.5400     -19821.6699     27.5893      324.2364     -0.6979    0.9528
    0.5500     -19818.4276     27.5814      324.2364     -0.8969    0.9528
    0.5600     -19815.1852     27.5734      324.2364     -0.6950    0.9528
    0.5700     -19811.9429     27.5655      324.2364     -0.8928    0.9528
    0.5800     -19808.7005     27.5575      324.2364     -0.6909    0.9528
    0.5900     -19805.4581     27.5496      324.2364     -0.8875    0.9528
    0.6000     -19802.2158     27.5418      324.2364     -0.6856    0.9528
    0.6100     -19798.9734     27.5339      324.2364     -0.8811    0.9528
    0.6200     -19795.7310     27.5261      324.2364     -0.6792    0.9528
    0.6300     -19792.4887     27.5184      324.2364     -0.8737    0.9528
    0.6400     -19789.2463     27.5107      324.2364     -0.6718    0.9528
    0.6500     -19786.0039     27.5030      324.2364     -0.8655    0.9528
    0.6600     -19782.7616     27.4953      324.2364     -0.6636    0.9528
    0.6700     -19779.5192     27.4877      324.2364     -0.8564    0.9528
    0.6800     -19776.2769     27.4802      324.2364     -0.6545    0.9528
    0.6900     -19773.0345     27.4727      324.2364     -0.8466    0.9528
    0.7000     -19769.7921     27.4652      324.2364     -0.6447    0.9528
    0.7100     -19766.5498     27.4578      324.2364     -0.8360    0.9528
    0.7200     -19763.3074     27.4504      324.2364     -0.6341    0.9528
    0.7300     -19760.0650     27.4432      324.2364     -0.8249    0.9528
    0.7400     -19756.8227     27.4359      324.2364     -0.6230    0.9528
    0.7500     -19753.5803     27.4287      324.2364     -0.8131    0.9528
    0.7600     -19750.3379     27.4216      324.2364     -0.6112    0.9528
    0.7700     -19747.0956     27.4146      324.2364     -0.8009    0.9528
    0.7800     -19743.8532     27.4076      324.2364     -0.5990    0.9528
    0.7900     -19740.6108     27.4006      324.2364     -0.7882    0.9528
    0.8000     -19737.3685     27.3937      324.2364     -0.5863    0.9528
    0.8100     -19734.1261     27.3869      324.2364     -0.7751    0.9528
    0.8200     -19730.8838     27.3802      324.2364     -0.5732    0.9528
    0.8300     -19727.6414     27.3735      324.2364     -0.7616    0.9528
    0.8400     -19724.3990     27.3669      324.2364     -0.5597    0.9528
    0.8500     -19721.1567     27.3604      324.2364     -0.7478    0.9528
    0.8600     -19717.9143     27.3539      324.2364     -0.5459    0.9528
    0.8700     -19714.6719     27.3475      324.2364     -0.7338    0.9528
    0.8800     -19711.4296     27.3412      324.2364     -0.5319    0.9528
    0.8900     -19708.1872     27.3349      324.2364     -0.7195    0.9528
    0.9000     -19704.9448     27.3287      324.2364     -0.5176    0.9528
    0.9100     -19701.7025     27.3226      324.2364     -0.7050    0.9528
    0.9200     -19698.4601     27.3166      324.2364     -0.5031    0.9528
    0.9300     -19695.2178     27.3106      324.2364     -0.6903    0.9528
    0.9400     -19691.9754     27.3047      324.2364     -0.4884    0.9528
    0.9500     -19688.7330     27.2989      324.2364     -0.6755    0.9528
    0.9600     -19685.4907     27.2932      324.2364     -0.4736    0.9528
    0.9700     -19682.2483     27.2875      324.2364     -0.6606    0.9528
    0.9800     -19679.0059     27.2819      324.2364     -0.4587    0.9528
    0.9900     -19675.7636     27.2764      324.2364     -0.6457    0.9528
    1.0000     -19672.5212     27.2709      324.2364     -0.4438    0.9528
    1.0100     -19669.2788     27.2656      324.2364     -0.6307    0.9528
    1.0200     -19666.0365     27.2603      324.2364     -0.4288    0.9528
    1.0300     -19662.7941     27.2550      324.2364     -0.6157    0.9528
    1.0400     -19659.5518     27.2499      324.2364     -0.4138    0.9528
    1.0500     -19656.3094     27.2448      324.2364     -0.6006    0.9528
    1.0600     -19653.0670     27.2398      324.2364     -0.3987    0.9528
    1.0700     -19649.8247     27.2349      324.2364     -0.5857    0.9528
    1.0800     -19646.5823     27.2300      324.2364     -0.3838    0.9528
    1.0900     -19643.3399     27.2253      324.2364     -0.5707    0.9528
    1.1000     -19640.0976     27.2206      324.2364     -0.3688    0.9528
    1.1100     -19636.8552     27.2160      324.2364     -0.5558    0.9528
    1.1200     -19633.6128     27.2114      324.2364     -0.3539    0.9528
    1.1300     -19630.3705     27.2069      324.2364     -0.5411    0.9528
    1.1400     -19627.1281     27.2025      324.2364     -0.3392    0.9528
    1.1500     -19623.8858     27.1982      324.2364     -0.5264    0.9528
    1.1600     -19620.6434     27.1939      324.2364     -0.3245    0.9528
    1.1700     -19617.4010     27.1898      324.2364     -0.5118    0.9528
    1.1800     -19614.1587     27.1857      324.2364     -0.3099    0.9528
    1.1900     -19610.9163     27.1816      324.2363     -0.4973    0.9528
    1.2000     -19607.6739     27.1777      324.2363     -0.2954    0.9528
    1.2100     -19604.4316     27.1738      324.2363     -0.4830    0.9528
    1.2200     -19601.1892     27.1699      324.2363     -0.2811    0.9528
    1.2300     -19597.9468     27.1662      324.2363     -0.4689    0.9528
    1.2400     -19594.7045     27.1625      324.2363     -0.2670    0.9528
    1.2500     -19591.4621     27.1589      324.2363     -0.4549    0.9528
    1.2600     -19588.2198     27.1554      324.2363     -0.2530    0.9528
    1.2700     -19584.9774     27.1519      324.2363     -0.4411    0.9528
    1.2800     -19581.7350     27.1485      324.2363     -0.2392    0.9528
    1.2900     -19578.4927     27.1452      324.2363     -0.4275    0.9528
    1.3000     -19575.2503     27.1419      324.2363     -0.2256    0.9528
    1.3100     -19572.0079     27.1387      324.2363     -0.4140    0.9528
    1.3200     -19568.7656     27.1356      324.2363     -0.2121    0.9528
    1.3300     -19565.5232     27.1325      324.2363     -0.4008    0.9528
    1.3400     -19562.2809     27.1295      324.2363     -0.1989    0.9528
    1.3500     -19559.0385     27.1266      324.2363     -0.3877    0.9528
    1.3600     -19555.7961     27.1237      324.2363     -0.1858    0.9528
    1.3700     -19552.5538     27.1209      324.2363     -0.3749    0.9528
    1.3800     -19549.3114     27.1182      324.2363     -0.1730    0.9528
    1.3900     -19546.0690     27.1155      324.2363     -0.3622    0.9528
    1.4000     -19542.8267     27.1129      324.2363     -0.1603    0.9528
    1.4100     -19539.5843     27.1103      324.2363     -0.3498    0.9528
    1.4200     -19536.3419     27.1078      324.2363     -0.1479    0.9528
    1.4300     -19533.0996     27.1054      324.2363     -0.3376    0.9528
    1.4400     -19529.8572     27.1030      324.2363     -0.1357    0.9528
    1.4500     -19526.6149     27.1007      324.2363     -0.3257    0.9528
    1.4600     -19523.3725     27.0985      324.2363     -0.1238    0.9528
    1.4700     -19520.1301     27.0963      324.2363     -0.3139    0.9528
    1.4800     -19516.8878     27.0942      324.2363     -0.1120    0.9528
