========================================================================
  CRUISE-ONLY BATCH RUN #12
========================================================================
  cruise_altitude_m      : 6.18
  cruise_speed_mach      : 2.9812
  cruise_speed_mps       : 1014.48
  sea_state              : 6
  radar_altimeter_bias_m : -1.3893
  air_temp_c             : 38.83
  termination            : reached_target
  total_steps            : 1972
========================================================================

       t_s             x_m         z_m            vx          vz      mach
------------------------------------------------------------------------
    0.0000     -19989.8552      4.7902     1014.4823      0.2019    2.9812
    0.0100     -19979.7104      4.7911     1014.4823     -0.0112    2.9812
    0.0200     -19969.5655      4.7920     1014.4823      0.1907    2.9812
    0.0300     -19959.4207      4.7929     1014.4823     -0.0213    2.9812
    0.0400     -19949.2759      4.7937     1014.4823      0.1806    2.9812
    0.0500     -19939.1311      4.7944     1014.4823     -0.0306    2.9812
    0.0600     -19928.9862      4.7951     1014.4823      0.1713    2.9812
    0.0700     -19918.8414      4.7958     1014.4823     -0.0389    2.9812
    0.0800     -19908.6966      4.7964     1014.4823      0.1630    2.9812
    0.0900     -19898.5518      4.7970     1014.4823     -0.0465    2.9812
    0.1000     -19888.4069      4.7975     1014.4823      0.1554    2.9812
    0.1100     -19878.2621      4.7981     1014.4823     -0.0532    2.9812
    0.1200     -19868.1173      4.7985     1014.4823      0.1487    2.9812
    0.1300     -19857.9725      4.7990     1014.4823     -0.0592    2.9812
    0.1400     -19847.8277      4.7994     1014.4823      0.1427    2.9812
    0.1500     -19837.6828      4.7998     1014.4823     -0.0646    2.9812
    0.1600     -19827.5380      4.8002     1014.4823      0.1373    2.9812
    0.1700     -19817.3932      4.8005     1014.4823     -0.0692    2.9812
    0.1800     -19807.2484      4.8008     1014.4823      0.1327    2.9812
    0.1900     -19797.1035      4.8011     1014.4823     -0.0733    2.9812
    0.2000     -19786.9587      4.8014     1014.4823      0.1286    2.9812
    0.2100     -19776.8139      4.8016     1014.4823     -0.0768    2.9812
    0.2200     -19766.6691      4.8019     1014.4823      0.1251    2.9812
    0.2300     -19756.5243      4.8021     1014.4823     -0.0797    2.9812
    0.2400     -19746.3794      4.8023     1014.4823      0.1222    2.9812
    0.2500     -19736.2346      4.8025     1014.4823     -0.0821    2.9812
    0.2600     -19726.0898      4.8027     1014.4823      0.1198    2.9812
    0.2700     -19715.9450      4.8029     1014.4823     -0.0841    2.9812
    0.2800     -19705.8001      4.8031     1014.4823      0.1178    2.9812
    0.2900     -19695.6553      4.8032     1014.4823     -0.0856    2.9812
    0.3000     -19685.5105      4.8034     1014.4823      0.1163    2.9812
    0.3100     -19675.3657      4.8035     1014.4823     -0.0867    2.9812
    0.3200     -19665.2208      4.8037     1014.4823      0.1152    2.9812
    0.3300     -19655.0760      4.8038     1014.4823     -0.0874    2.9812
    0.3400     -19644.9312      4.8039     1014.4823      0.1145    2.9812
    0.3500     -19634.7864      4.8041     1014.4823     -0.0878    2.9812
    0.3600     -19624.6416      4.8042     1014.4823      0.1141    2.9812
    0.3700     -19614.4967      4.8043     1014.4823     -0.0878    2.9812
    0.3800     -19604.3519      4.8045     1014.4823      0.1141    2.9812
    0.3900     -19594.2071      4.8046     1014.4823     -0.0875    2.9812
    0.4000     -19584.0623      4.8047     1014.4823      0.1144    2.9812
    0.4100     -19573.9174      4.8049     1014.4823     -0.0870    2.9812
    0.4200     -19563.7726      4.8050     1014.4823      0.1149    2.9812
    0.4300     -19553.6278      4.8052     1014.4823     -0.0861    2.9812
    0.4400     -19543.4830      4.8053     1014.4823      0.1158    2.9812
    0.4500     -19533.3382      4.8055     1014.4823     -0.0850    2.9812
    0.4600     -19523.1933      4.8056     1014.4823      0.1169    2.9812
    0.4700     -19513.0485      4.8058     1014.4823     -0.0837    2.9812
    0.4800     -19502.9037      4.8060     1014.4823      0.1182    2.9812
    0.4900     -19492.7589      4.8061     1014.4823     -0.0822    2.9812
    0.5000     -19482.6140      4.8063     1014.4823      0.1197    2.9812
    0.5100     -19472.4692      4.8065     1014.4823     -0.0805    2.9812
    0.5200     -19462.3244      4.8067     1014.4823      0.1214    2.9812
    0.5300     -19452.1796      4.8069     1014.4823     -0.0786    2.9812
    0.5400     -19442.0347      4.8072     1014.4823      0.1233    2.9812
    0.5500     -19431.8899      4.8074     1014.4823     -0.0766    2.9812
    0.5600     -19421.7451      4.8076     1014.4823      0.1253    2.9812
