========================================================================
  CRUISE-ONLY BATCH RUN #01
========================================================================
  cruise_altitude_m      : 5.15
  cruise_speed_mach      : 2.2088
  cruise_speed_mps       : 751.64
  sea_state              : 6
  radar_altimeter_bias_m : -0.6285
  air_temp_c             : 13.02
  termination            : reached_target
  total_steps            : 2661
========================================================================

       t_s             x_m         z_m            vx          vz      mach
------------------------------------------------------------------------
    0.0000     -19992.4836      4.5265      751.6426      0.2019    2.2088
    0.0100     -19984.9671      4.5271      751.6426     -0.0661    2.2088
    0.0200     -19977.4507      4.5275      751.6426      0.1358    2.2088
    0.0300     -19969.9343      4.5275      751.6426     -0.1274    2.2088
    0.0400     -19962.4179      4.5273      751.6426      0.0745    2.2088
    0.0500     -19954.9014      4.5267      751.6426     -0.1841    2.2088
    0.0600     -19947.3850      4.5259      751.6426      0.0178    2.2088
    0.0700     -19939.8686      4.5248      751.6426     -0.2365    2.2088
    0.0800     -19932.3522      4.5234      751.6426     -0.0346    2.2088
    0.0900     -19924.8357      4.5218      751.6426     -0.2847    2.2088
    0.1000     -19917.3193      4.5200      751.6426     -0.0828    2.2088
    0.1100     -19909.8029      4.5179      751.6426     -0.3290    2.2088
    0.1200     -19902.2865      4.5157      751.6426     -0.1271    2.2088
    0.1300     -19894.7700      4.5132      751.6426     -0.3696    2.2088
    0.1400     -19887.2536      4.5105      751.6426     -0.1677    2.2088
    0.1500     -19879.7372      4.5076      751.6426     -0.4067    2.2088
    0.1600     -19872.2208      4.5046      751.6426     -0.2048    2.2088
    0.1700     -19864.7043      4.5013      751.6426     -0.4405    2.2088
    0.1800     -19857.1879      4.4979      751.6426     -0.2386    2.2088
    0.1900     -19849.6715      4.4944      751.6426     -0.4712    2.2088
    0.2000     -19842.1550      4.4907      751.6426     -0.2693    2.2088
    0.2100     -19834.6386      4.4869      751.6426     -0.4989    2.2088
    0.2200     -19827.1222      4.4829      751.6426     -0.2970    2.2088
    0.2300     -19819.6058      4.4788      751.6426     -0.5238    2.2088
