========================================================================
  CRUISE-ONLY BATCH RUN #05
========================================================================
  cruise_altitude_m      : 27.63
  cruise_speed_mach      : 2.7547
  cruise_speed_mps       : 937.41
  sea_state              : 1
  radar_altimeter_bias_m : 1.0218
  air_temp_c             : -7.25
  termination            : reached_target
  total_steps            : 2134
========================================================================

       t_s             x_m         z_m            vx          vz      mach
------------------------------------------------------------------------
    0.0000     -19990.6259     28.6493      937.4050     -0.3981    2.7547
    0.0100     -19981.2519     28.6463      937.4050     -0.1962    2.7547
    0.0200     -19971.8778     28.6426      937.4050     -0.5544    2.7547
    0.0300     -19962.5038     28.6380      937.4050     -0.3525    2.7547
    0.0400     -19953.1297     28.6328      937.4050     -0.6990    2.7547
    0.0500     -19943.7557     28.6268      937.4050     -0.4971    2.7547
    0.0600     -19934.3816     28.6202      937.4050     -0.8325    2.7547
    0.0700     -19925.0076     28.6128      937.4050     -0.6306    2.7547
    0.0800     -19915.6335     28.6049      937.4050     -0.9554    2.7547
    0.0900     -19906.2595     28.5964      937.4050     -0.7535    2.7547
    0.1000     -19896.8854     28.5873      937.4050     -1.0684    2.7547
    0.1100     -19887.5114     28.5776      937.4050     -0.8665    2.7547
    0.1200     -19878.1373     28.5674      937.4050     -1.1719    2.7547
    0.1300     -19868.7633     28.5567      937.4050     -0.9700    2.7547
    0.1400     -19859.3892     28.5455      937.4050     -1.2665    2.7547
    0.1500     -19850.0152     28.5338      937.4050     -1.0646    2.7547
    0.1600     -19840.6411     28.5218      937.4050     -1.3526    2.7547
    0.1700     -19831.2671     28.5092      937.4050     -1.1507    2.7547
    0.1800     -19821.8930     28.4963      937.4050     -1.4307    2.7547
    0.1900     -19812.5190     28.4830      937.4050     -1.2288    2.7547
    0.2000     -19803.1449     28.4694      937.4050     -1.5013    2.7547
    0.2100     -19793.7709     28.4554      937.4050     -1.2994    2.7547
    0.2200     -19784.3968     28.4411      937.4050     -1.5646    2.7547
    0.2300     -19775.0228     28.4264      937.4050     -1.3627    2.7547
    0.2400     -19765.6487     28.4115      937.4050     -1.6213    2.7547
    0.2500     -19756.2747     28.3963      937.4050     -1.4194    2.7547
    0.2600     -19746.9006     28.3809      937.4050     -1.6716    2.7547
    0.2700     -19737.5266     28.3651      937.4050     -1.4697    2.7547
    0.2800     -19728.1525     28.3492      937.4050     -1.7158    2.7547
    0.2900     -19718.7785     28.3331      937.4050     -1.5139    2.7547
    0.3000     -19709.4044     28.3167      937.4050     -1.7544    2.7547
    0.3100     -19700.0304     28.3002      937.4050     -1.5525    2.7547
    0.3200     -19690.6563     28.2835      937.4050     -1.7878    2.7547
    0.3300     -19681.2823     28.2666      937.4050     -1.5859    2.7547
    0.3400     -19671.9082     28.2496      937.4050     -1.8161    2.7547
    0.3500     -19662.5342     28.2325      937.4050     -1.6142    2.7547
    0.3600     -19653.1601     28.2152      937.4050     -1.8397    2.7547
    0.3700     -19643.7861     28.1978      937.4050     -1.6378    2.7547
    0.3800     -19634.4120     28.1803      937.4050     -1.8589    2.7547
    0.3900     -19625.0380     28.1627      937.4050     -1.6570    2.7547
    0.4000     -19615.6640     28.1451      937.4050     -1.8740    2.7547
    0.4100     -19606.2899     28.1274      937.4049     -1.6721    2.7547
    0.4200     -19596.9159     28.1096      937.4049     -1.8852    2.7547
    0.4300     -19587.5418     28.0917      937.4049     -1.6833    2.7547
    0.4400     -19578.1678     28.0738      937.4049     -1.8928    2.7547
    0.4500     -19568.7937     28.0559      937.4049     -1.6909    2.7547
    0.4600     -19559.4197     28.0380      937.4049     -1.8970    2.7547
    0.4700     -19550.0456     28.0200      937.4049     -1.6951    2.7547
    0.4800     -19540.6716     28.0021      937.4049     -1.8981    2.7547
    0.4900     -19531.2975     27.9841      937.4049     -1.6962    2.7547
    0.5000     -19521.9235     27.9661      937.4049     -1.8962    2.7547
    0.5100     -19512.5494     27.9482      937.4049     -1.6943    2.7547
    0.5200     -19503.1754     27.9302      937.4049     -1.8916    2.7547
    0.5300     -19493.8013     27.9123      937.4049     -1.6897    2.7547
    0.5400     -19484.4273     27.8945      937.4049     -1.8845    2.7547
    0.5500     -19475.0532     27.8766      937.4049     -1.6826    2.7547
    0.5600     -19465.6792     27.8588      937.4049     -1.8750    2.7547
    0.5700     -19456.3051     27.8411      937.4049     -1.6731    2.7547
    0.5800     -19446.9311     27.8234      937.4049     -1.8633    2.7547
    0.5900     -19437.5570     27.8058      937.4049     -1.6614    2.7547
    0.6000     -19428.1830     27.7882      937.4049     -1.8496    2.7547
    0.6100     -19418.8089     27.7708      937.4049     -1.6477    2.7547
    0.6200     -19409.4349     27.7534      937.4049     -1.8341    2.7547
    0.6300     -19400.0608     27.7360      937.4049     -1.6322    2.7547
    0.6400     -19390.6868     27.7188      937.4049     -1.8169    2.7547
    0.6500     -19381.3127     27.7016      937.4049     -1.6150    2.7547
    0.6600     -19371.9387     27.6846      937.4049     -1.7981    2.7547
    0.6700     -19362.5646     27.6676      937.4049     -1.5962    2.7547
    0.6800     -19353.1906     27.6507      937.4049     -1.7779    2.7547
    0.6900     -19343.8165     27.6339      937.4049     -1.5760    2.7547
    0.7000     -19334.4425     27.6173      937.4049     -1.7564    2.7547
    0.7100     -19325.0684     27.6007      937.4049     -1.5545    2.7547
    0.7200     -19315.6944     27.5843      937.4049     -1.7337    2.7547
    0.7300     -19306.3203     27.5680      937.4049     -1.5318    2.7547
    0.7400     -19296.9463     27.5517      937.4048     -1.7099    2.7547
    0.7500     -19287.5722     27.5357      937.4048     -1.5080    2.7547
    0.7600     -19278.1982     27.5197      937.4048     -1.6852    2.7547
    0.7700     -19268.8241     27.5038      937.4048     -1.4833    2.7547
    0.7800     -19259.4501     27.4881      937.4048     -1.6596    2.7547
    0.7900     -19250.0760     27.4725      937.4048     -1.4577    2.7547
    0.8000     -19240.7020     27.4571      937.4048     -1.6333    2.7547
    0.8100     -19231.3279     27.4418      937.4048     -1.4314    2.7547
    0.8200     -19221.9539     27.4266      937.4048     -1.6063    2.7547
    0.8300     -19212.5798     27.4115      937.4048     -1.4044    2.7547
    0.8400     -19203.2058     27.3966      937.4048     -1.5787    2.7547
    0.8500     -19193.8318     27.3818      937.4048     -1.3768    2.7547
    0.8600     -19184.4577     27.3672      937.4048     -1.5506    2.7547
    0.8700     -19175.0837     27.3527      937.4048     -1.3487    2.7547
    0.8800     -19165.7096     27.3383      937.4048     -1.5221    2.7547
    0.8900     -19156.3356     27.3241      937.4048     -1.3202    2.7547
    0.9000     -19146.9615     27.3101      937.4048     -1.4932    2.7547
    0.9100     -19137.5875     27.2961      937.4048     -1.2913    2.7547
    0.9200     -19128.2134     27.2824      937.4048     -1.4640    2.7547
    0.9300     -19118.8394     27.2687      937.4048     -1.2621    2.7547
    0.9400     -19109.4653     27.2553      937.4048     -1.4346    2.7547
    0.9500     -19100.0913     27.2419      937.4048     -1.2327    2.7547
    0.9600     -19090.7172     27.2287      937.4048     -1.4051    2.7547
    0.9700     -19081.3432     27.2157      937.4048     -1.2032    2.7547
    0.9800     -19071.9691     27.2028      937.4048     -1.3754    2.7547
    0.9900     -19062.5951     27.1901      937.4048     -1.1735    2.7547
    1.0000     -19053.2210     27.1775      937.4048     -1.3456    2.7547
    1.0100     -19043.8470     27.1650      937.4048     -1.1437    2.7547
    1.0200     -19034.4729     27.1527      937.4048     -1.3158    2.7547
    1.0300     -19025.0989     27.1406      937.4048     -1.1139    2.7547
    1.0400     -19015.7248     27.1286      937.4048     -1.2861    2.7547
    1.0500     -19006.3508     27.1167      937.4048     -1.0842    2.7547
    1.0600     -18996.9767     27.1050      937.4048     -1.2564    2.7547
    1.0700     -18987.6027     27.0935      937.4048     -1.0545    2.7547
    1.0800     -18978.2286     27.0821      937.4048     -1.2268    2.7547
    1.0900     -18968.8546     27.0708      937.4048     -1.0249    2.7547
    1.1000     -18959.4806     27.0597      937.4048     -1.1974    2.7547
    1.1100     -18950.1065     27.0487      937.4048     -0.9955    2.7547
    1.1200     -18940.7325     27.0379      937.4048     -1.1681    2.7547
    1.1300     -18931.3584     27.0272      937.4048     -0.9662    2.7547
    1.1400     -18921.9844     27.0167      937.4048     -1.1390    2.7547
    1.1500     -18912.6103     27.0063      937.4048     -0.9371    2.7547
    1.1600     -18903.2363     26.9961      937.4048     -1.1102    2.7547
    1.1700     -18893.8622     26.9860      937.4048     -0.9083    2.7547
    1.1800     -18884.4882     26.9760      937.4048     -1.0816    2.7547
    1.1900     -18875.1141     26.9662      937.4048     -0.8797    2.7547
    1.2000     -18865.7401     26.9566      937.4048     -1.0533    2.7547
    1.2100     -18856.3660     26.9470      937.4048     -0.8514    2.7547
    1.2200     -18846.9920     26.9377      937.4048     -1.0253    2.7547
    1.2300     -18837.6179     26.9284      937.4048     -0.8234    2.7547
    1.2400     -18828.2439     26.9193      937.4048     -0.9976    2.7547
    1.2500     -18818.8698     26.9103      937.4048     -0.7957    2.7547
    1.2600     -18809.4958     26.9015      937.4048     -0.9703    2.7547
    1.2700     -18800.1217     26.8928      937.4048     -0.7684    2.7547
    1.2800     -18790.7477     26.8843      937.4048     -0.9433    2.7547
    1.2900     -18781.3736     26.8758      937.4048     -0.7414    2.7547
