========================================================================
  CRUISE-ONLY BATCH RUN #02
========================================================================
  cruise_altitude_m      : 36.67
  cruise_speed_mach      : 1.3100
  cruise_speed_mps       : 445.79
  sea_state              : 2
  radar_altimeter_bias_m : 0.2672
  air_temp_c             : 0.28
  termination            : reached_target
  total_steps            : 4487
========================================================================

       t_s             x_m         z_m            vx          vz      mach
------------------------------------------------------------------------
    0.0000     -19995.5421     36.9334      445.7886     -0.3981    1.3100
    0.0100     -19991.0842     36.9305      445.7886     -0.1962    1.3100
    0.0200     -19986.6263     36.9270      445.7886     -0.4998    1.3100
    0.0300     -19982.1685     36.9230      445.7886     -0.2979    1.3100
    0.0400     -19977.7106     36.9185      445.7886     -0.5936    1.3100
    0.0500     -19973.2527     36.9136      445.7886     -0.3917    1.3100
    0.0600     -19968.7948     36.9083      445.7886     -0.6799    1.3100
    0.0700     -19964.3369     36.9025      445.7886     -0.4780    1.3100
    0.0800     -19959.8790     36.8963      445.7886     -0.7592    1.3100
    0.0900     -19955.4211     36.8897      445.7886     -0.5573    1.3100
    0.1000     -19950.9633     36.8828      445.7886     -0.8317    1.3100
    0.1100     -19946.5054     36.8755      445.7886     -0.6298    1.3100
    0.1200     -19942.0475     36.8678      445.7886     -0.8979    1.3100
    0.1300     -19937.5896     36.8598      445.7886     -0.6960    1.3100
    0.1400     -19933.1317     36.8516      445.7886     -0.9581    1.3100
    0.1500     -19928.6738     36.8430      445.7886     -0.7562    1.3100
    0.1600     -19924.2159     36.8342      445.7886     -1.0127    1.3100
    0.1700     -19919.7581     36.8250      445.7886     -0.8108    1.3100
    0.1800     -19915.3002     36.8157      445.7886     -1.0618    1.3100
    0.1900     -19910.8423     36.8061      445.7886     -0.8599    1.3100
    0.2000     -19906.3844     36.7962      445.7886     -1.1059    1.3100
    0.2100     -19901.9265     36.7862      445.7886     -0.9040    1.3100
    0.2200     -19897.4686     36.7759      445.7886     -1.1453    1.3100
    0.2300     -19893.0107     36.7655      445.7886     -0.9434    1.3100
    0.2400     -19888.5529     36.7549      445.7886     -1.1801    1.3100
    0.2500     -19884.0950     36.7441      445.7885     -0.9782    1.3100
    0.2600     -19879.6371     36.7331      445.7885     -1.2107    1.3100
    0.2700     -19875.1792     36.7220      445.7885     -1.0088    1.3100
    0.2800     -19870.7213     36.7108      445.7885     -1.2372    1.3100
    0.2900     -19866.2634     36.6995      445.7885     -1.0353    1.3100
    0.3000     -19861.8055     36.6880      445.7885     -1.2601    1.3100
    0.3100     -19857.3477     36.6764      445.7885     -1.0582    1.3100
    0.3200     -19852.8898     36.6647      445.7885     -1.2793    1.3100
    0.3300     -19848.4319     36.6529      445.7885     -1.0774    1.3100
    0.3400     -19843.9740     36.6411      445.7885     -1.2953    1.3100
    0.3500     -19839.5161     36.6291      445.7885     -1.0934    1.3100
    0.3600     -19835.0582     36.6171      445.7885     -1.3082    1.3100
    0.3700     -19830.6003     36.6050      445.7885     -1.1063    1.3100
    0.3800     -19826.1425     36.5929      445.7885     -1.3181    1.3100
    0.3900     -19821.6846     36.5807      445.7885     -1.1162    1.3100
    0.4000     -19817.2267     36.5685      445.7885     -1.3253    1.3100
    0.4100     -19812.7688     36.5563      445.7885     -1.1234    1.3100
    0.4200     -19808.3109     36.5440      445.7885     -1.3300    1.3100
    0.4300     -19803.8530     36.5317      445.7885     -1.1281    1.3100
    0.4400     -19799.3952     36.5194      445.7885     -1.3323    1.3100
    0.4500     -19794.9373     36.5071      445.7885     -1.1304    1.3100
    0.4600     -19790.4794     36.4948      445.7885     -1.3324    1.3100
    0.4700     -19786.0215     36.4825      445.7885     -1.1305    1.3100
    0.4800     -19781.5636     36.4702      445.7885     -1.3303    1.3100
    0.4900     -19777.1057     36.4579      445.7885     -1.1284    1.3100
    0.5000     -19772.6478     36.4456      445.7885     -1.3264    1.3100
