========================================================================
  CRUISE-ONLY BATCH RUN #02
========================================================================
  cruise_altitude_m      : 14.10
  cruise_speed_mach      : 1.1954
  cruise_speed_mps       : 406.80
  sea_state              : 3
  radar_altimeter_bias_m : 1.5277
  air_temp_c             : -8.65
  termination            : reached_target
  total_steps            : 4917
========================================================================

       t_s             x_m         z_m            vx          vz      mach
------------------------------------------------------------------------
    0.0000     -19995.9320     15.6276      406.7983     -0.3981    1.1954
    0.0100     -19991.8640     15.6246      406.7983     -0.1962    1.1954
    0.0200     -19987.7961     15.6207      406.7983     -0.5910    1.1954
    0.0300     -19983.7281     15.6158      406.7983     -0.3891    1.1954
    0.0400     -19979.6601     15.6100      406.7983     -0.7696    1.1954
    0.0500     -19975.5921     15.6033      406.7983     -0.5677    1.1954
    0.0600     -19971.5241     15.5958      406.7983     -0.9347    1.1954
    0.0700     -19967.4561     15.5875      406.7983     -0.7328    1.1954
    0.0800     -19963.3882     15.5784      406.7983     -1.0870    1.1955
    0.0900     -19959.3202     15.5685      406.7983     -0.8851    1.1954
    0.1000     -19955.2522     15.5579      406.7983     -1.2271    1.1955
    0.1100     -19951.1842     15.5467      406.7983     -1.0252    1.1954
    0.1200     -19947.1162     15.5348      406.7983     -1.3556    1.1955
    0.1300     -19943.0482     15.5222      406.7983     -1.1537    1.1955
    0.1400     -19938.9803     15.5091      406.7983     -1.4732    1.1955
    0.1500     -19934.9123     15.4954      406.7983     -1.2713    1.1955
    0.1600     -19930.8443     15.4811      406.7983     -1.5805    1.1955
    0.1700     -19926.7763     15.4663      406.7983     -1.3786    1.1955
    0.1800     -19922.7083     15.4510      406.7983     -1.6780    1.1955
    0.1900     -19918.6403     15.4353      406.7982     -1.4761    1.1955
    0.2000     -19914.5724     15.4190      406.7982     -1.7663    1.1955
    0.2100     -19910.5044     15.4024      406.7982     -1.5644    1.1955
    0.2200     -19906.4364     15.3853      406.7982     -1.8458    1.1955
    0.2300     -19902.3684     15.3679      406.7982     -1.6439    1.1955
    0.2400     -19898.3004     15.3501      406.7982     -1.9171    1.1955
    0.2500     -19894.2324     15.3319      406.7982     -1.7152    1.1955
    0.2600     -19890.1645     15.3134      406.7982     -1.9805    1.1955
    0.2700     -19886.0965     15.2947      406.7982     -1.7786    1.1955
    0.2800     -19882.0285     15.2756      406.7982     -2.0367    1.1955
    0.2900     -19877.9605     15.2562      406.7982     -1.8348    1.1955
    0.3000     -19873.8925     15.2366      406.7982     -2.0859    1.1955
    0.3100     -19869.8246     15.2168      406.7981     -1.8840    1.1955
    0.3200     -19865.7566     15.1967      406.7981     -2.1286    1.1955
    0.3300     -19861.6886     15.1764      406.7981     -1.9267    1.1955
    0.3400     -19857.6206     15.1560      406.7981     -2.1652    1.1955
    0.3500     -19853.5526     15.1353      406.7981     -1.9633    1.1955
    0.3600     -19849.4847     15.1145      406.7981     -2.1960    1.1955
    0.3700     -19845.4167     15.0936      406.7981     -1.9941    1.1955
    0.3800     -19841.3487     15.0725      406.7981     -2.2214    1.1955
    0.3900     -19837.2807     15.0513      406.7981     -2.0195    1.1955
    0.4000     -19833.2127     15.0300      406.7981     -2.2418    1.1955
    0.4100     -19829.1447     15.0086      406.7980     -2.0399    1.1955
    0.4200     -19825.0768     14.9871      406.7980     -2.2574    1.1955
    0.4300     -19821.0088     14.9655      406.7980     -2.0555    1.1955
    0.4400     -19816.9408     14.9439      406.7980     -2.2686    1.1955
    0.4500     -19812.8728     14.9222      406.7980     -2.0667    1.1955
    0.4600     -19808.8048     14.9005      406.7980     -2.2756    1.1955
    0.4700     -19804.7369     14.8788      406.7980     -2.0737    1.1955
    0.4800     -19800.6689     14.8570      406.7980     -2.2787    1.1955
    0.4900     -19796.6009     14.8352      406.7980     -2.0768    1.1955
    0.5000     -19792.5329     14.8135      406.7979     -2.2782    1.1955
    0.5100     -19788.4650     14.7917      406.7979     -2.0763    1.1955
    0.5200     -19784.3970     14.7699      406.7979     -2.2743    1.1955
    0.5300     -19780.3290     14.7482      406.7979     -2.0724    1.1955
    0.5400     -19776.2610     14.7265      406.7979     -2.2673    1.1955
    0.5500     -19772.1930     14.7048      406.7979     -2.0654    1.1955
    0.5600     -19768.1251     14.6832      406.7979     -2.2575    1.1955
    0.5700     -19764.0571     14.6617      406.7979     -2.0556    1.1955
    0.5800     -19759.9891     14.6402      406.7979     -2.2449    1.1955
    0.5900     -19755.9211     14.6187      406.7979     -2.0430    1.1955
    0.6000     -19751.8531     14.5974      406.7978     -2.2298    1.1955
    0.6100     -19747.7852     14.5761      406.7978     -2.0279    1.1955
    0.6200     -19743.7172     14.5549      406.7978     -2.2124    1.1955
    0.6300     -19739.6492     14.5337      406.7978     -2.0105    1.1955
