========================================================================
  CRUISE-ONLY BATCH RUN #07
========================================================================
  cruise_altitude_m      : 9.34
  cruise_speed_mach      : 1.2726
  cruise_speed_mps       : 433.05
  sea_state              : 4
  radar_altimeter_bias_m : 1.1539
  air_temp_c             : 15.58
  termination            : reached_target
  total_steps            : 4619
========================================================================

       t_s             x_m         z_m            vx          vz      mach
------------------------------------------------------------------------
    0.0000     -19995.6695     10.4928      433.0471     -0.3981    1.2726
    0.0100     -19991.3391     10.4898      433.0470     -0.1962    1.2726
    0.0200     -19987.0086     10.4860      433.0470     -0.5639    1.2726
    0.0300     -19982.6781     10.4814      433.0470     -0.3620    1.2726
    0.0400     -19978.3476     10.4760      433.0470     -0.7174    1.2726
    0.0500     -19974.0172     10.4698      433.0470     -0.5155    1.2726
    0.0600     -19969.6867     10.4630      433.0470     -0.8592    1.2726
    0.0700     -19965.3562     10.4554      433.0470     -0.6573    1.2726
    0.0800     -19961.0258     10.4471      433.0470     -0.9898    1.2726
    0.0900     -19956.6953     10.4383      433.0470     -0.7879    1.2726
    0.1000     -19952.3648     10.4288      433.0470     -1.1098    1.2726
    0.1100     -19948.0344     10.4187      433.0470     -0.9079    1.2726
    0.1200     -19943.7039     10.4080      433.0470     -1.2199    1.2726
    0.1300     -19939.3734     10.3968      433.0470     -1.0180    1.2726
    0.1400     -19935.0429     10.3852      433.0470     -1.3205    1.2726
    0.1500     -19930.7125     10.3730      433.0470     -1.1186    1.2726
    0.1600     -19926.3820     10.3603      433.0470     -1.4122    1.2726
    0.1700     -19922.0515     10.3472      433.0470     -1.2103    1.2726
    0.1800     -19917.7211     10.3337      433.0470     -1.4953    1.2726
    0.1900     -19913.3906     10.3197      433.0470     -1.2934    1.2726
    0.2000     -19909.0601     10.3054      433.0470     -1.5705    1.2726
    0.2100     -19904.7297     10.2907      433.0470     -1.3686    1.2726
    0.2200     -19900.3992     10.2757      433.0470     -1.6381    1.2726
    0.2300     -19896.0687     10.2603      433.0470     -1.4362    1.2726
    0.2400     -19891.7382     10.2446      433.0470     -1.6985    1.2726
    0.2500     -19887.4078     10.2287      433.0470     -1.4966    1.2726
    0.2600     -19883.0773     10.2124      433.0470     -1.7523    1.2726
    0.2700     -19878.7468     10.1959      433.0470     -1.5504    1.2726
    0.2800     -19874.4164     10.1791      433.0470     -1.7996    1.2726
    0.2900     -19870.0859     10.1622      433.0470     -1.5977    1.2726
    0.3000     -19865.7554     10.1450      433.0469     -1.8410    1.2726
    0.3100     -19861.4250     10.1276      433.0469     -1.6391    1.2726
    0.3200     -19857.0945     10.1100      433.0469     -1.8768    1.2726
    0.3300     -19852.7640     10.0922      433.0469     -1.6749    1.2726
    0.3400     -19848.4335     10.0743      433.0469     -1.9073    1.2726
    0.3500     -19844.1031     10.0563      433.0469     -1.7054    1.2726
    0.3600     -19839.7726     10.0381      433.0469     -1.9328    1.2726
    0.3700     -19835.4421     10.0197      433.0469     -1.7309    1.2726
    0.3800     -19831.1117     10.0013      433.0469     -1.9536    1.2726
    0.3900     -19826.7812      9.9828      433.0469     -1.7517    1.2726
    0.4000     -19822.4507      9.9642      433.0469     -1.9700    1.2726
    0.4100     -19818.1203      9.9455      433.0469     -1.7681    1.2726
    0.4200     -19813.7898      9.9267      433.0469     -1.9824    1.2726
    0.4300     -19809.4593      9.9079      433.0469     -1.7805    1.2726
    0.4400     -19805.1289      9.8891      433.0468     -1.9909    1.2726
    0.4500     -19800.7984      9.8702      433.0468     -1.7890    1.2726
    0.4600     -19796.4679      9.8512      433.0468     -1.9959    1.2726
    0.4700     -19792.1375      9.8323      433.0468     -1.7940    1.2726
    0.4800     -19787.8070      9.8133      433.0468     -1.9975    1.2726
    0.4900     -19783.4765      9.7944      433.0468     -1.7956    1.2726
    0.5000     -19779.1461      9.7754      433.0468     -1.9960    1.2726
    0.5100     -19774.8156      9.7565      433.0468     -1.7941    1.2726
    0.5200     -19770.4851      9.7375      433.0468     -1.9916    1.2726
    0.5300     -19766.1546      9.7186      433.0468     -1.7897    1.2726
    0.5400     -19761.8242      9.6998      433.0468     -1.9845    1.2726
    0.5500     -19757.4937      9.6809      433.0468     -1.7826    1.2726
    0.5600     -19753.1632      9.6621      433.0467     -1.9749    1.2726
    0.5700     -19748.8328      9.6434      433.0467     -1.7730    1.2726
    0.5800     -19744.5023      9.6247      433.0467     -1.9630    1.2726
    0.5900     -19740.1718      9.6061      433.0467     -1.7611    1.2726
    0.6000     -19735.8414      9.5875      433.0467     -1.9489    1.2726
    0.6100     -19731.5109      9.5691      433.0467     -1.7470    1.2726
    0.6200     -19727.1804      9.5507      433.0467     -1.9329    1.2726
    0.6300     -19722.8500      9.5323      433.0467     -1.7310    1.2726
    0.6400     -19718.5195      9.5141      433.0467     -1.9151    1.2726
    0.6500     -19714.1890      9.4960      433.0467     -1.7132    1.2726
    0.6600     -19709.8586      9.4779      433.0467     -1.8956    1.2726
    0.6700     -19705.5281      9.4600      433.0467     -1.6937    1.2726
    0.6800     -19701.1976      9.4421      433.0467     -1.8746    1.2726
    0.6900     -19696.8672      9.4244      433.0467     -1.6727    1.2726
    0.7000     -19692.5367      9.4068      433.0467     -1.8523    1.2726
    0.7100     -19688.2062      9.3893      433.0466     -1.6504    1.2726
    0.7200     -19683.8758      9.3719      433.0466     -1.8286    1.2726
    0.7300     -19679.5453      9.3546      433.0466     -1.6267    1.2726
    0.7400     -19675.2148      9.3374      433.0466     -1.8039    1.2726
    0.7500     -19670.8844      9.3204      433.0466     -1.6020    1.2726
    0.7600     -19666.5539      9.3035      433.0466     -1.7781    1.2726
    0.7700     -19662.2234      9.2867      433.0466     -1.5762    1.2726
    0.7800     -19657.8930      9.2701      433.0466     -1.7514    1.2726
    0.7900     -19653.5625      9.2536      433.0466     -1.5495    1.2726
    0.8000     -19649.2320      9.2372      433.0466     -1.7239    1.2726
    0.8100     -19644.9016      9.2210      433.0466     -1.5220    1.2726
    0.8200     -19640.5711      9.2049      433.0466     -1.6956    1.2726
    0.8300     -19636.2406      9.1890      433.0466     -1.4937    1.2726
    0.8400     -19631.9102      9.1732      433.0466     -1.6668    1.2726
    0.8500     -19627.5797      9.1575      433.0466     -1.4649    1.2726
    0.8600     -19623.2492      9.1420      433.0466     -1.6374    1.2726
    0.8700     -19618.9188      9.1266      433.0466     -1.4355    1.2726
    0.8800     -19614.5883      9.1114      433.0466     -1.6075    1.2726
    0.8900     -19610.2579      9.0964      433.0466     -1.4056    1.2726
    0.9000     -19605.9274      9.0814      433.0465     -1.5772    1.2726
    0.9100     -19601.5969      9.0667      433.0465     -1.3753    1.2726
    0.9200     -19597.2665      9.0521      433.0465     -1.5467    1.2726
    0.9300     -19592.9360      9.0376      433.0465     -1.3448    1.2726
    0.9400     -19588.6055      9.0233      433.0465     -1.5158    1.2726
    0.9500     -19584.2751      9.0092      433.0465     -1.3139    1.2726
    0.9600     -19579.9446      8.9952      433.0465     -1.4848    1.2726
    0.9700     -19575.6141      8.9813      433.0465     -1.2829    1.2726
    0.9800     -19571.2837      8.9676      433.0465     -1.4537    1.2726
    0.9900     -19566.9532      8.9541      433.0465     -1.2518    1.2726
    1.0000     -19562.6227      8.9407      433.0465     -1.4225    1.2726
    1.0100     -19558.2923      8.9275      433.0465     -1.2206    1.2726
    1.0200     -19553.9618      8.9145      433.0465     -1.3912    1.2726
    1.0300     -19549.6313      8.9016      433.0465     -1.1893    1.2726
    1.0400     -19545.3009      8.8888      433.0465     -1.3600    1.2726
    1.0500     -19540.9704      8.8762      433.0465     -1.1581    1.2726
    1.0600     -19536.6399      8.8638      433.0465     -1.3288    1.2726
    1.0700     -19532.3095      8.8515      433.0465     -1.1269    1.2726
    1.0800     -19527.9790      8.8394      433.0465     -1.2977    1.2726
    1.0900     -19523.6485      8.8274      433.0465     -1.0958    1.2726
    1.1000     -19519.3181      8.8156      433.0465     -1.2668    1.2726
