========================================================================
  CRUISE-ONLY BATCH RUN #03
========================================================================
  cruise_altitude_m      : 46.02
  cruise_speed_mach      : 1.1943
  cruise_speed_mps       : 406.42
  sea_state              : 2
  radar_altimeter_bias_m : 0.7418
  air_temp_c             : 20.54
  termination            : reached_target
  total_steps            : 4921
========================================================================

       t_s             x_m         z_m            vx          vz      mach
------------------------------------------------------------------------
    0.0000     -19995.9358     46.7589      406.4216     -0.3981    1.1943
    0.0100     -19991.8716     46.7559      406.4216     -0.1962    1.1943
    0.0200     -19987.8074     46.7523      406.4216     -0.5341    1.1943
    0.0300     -19983.7431     46.7480      406.4216     -0.3322    1.1943
    0.0400     -19979.6789     46.7430      406.4216     -0.6599    1.1943
    0.0500     -19975.6147     46.7374      406.4216     -0.4580    1.1943
    0.0600     -19971.5505     46.7312      406.4216     -0.7758    1.1943
    0.0700     -19967.4863     46.7245      406.4216     -0.5739    1.1943
    0.0800     -19963.4221     46.7172      406.4216     -0.8826    1.1943
    0.0900     -19959.3578     46.7094      406.4216     -0.6807    1.1943
    0.1000     -19955.2936     46.7011      406.4216     -0.9806    1.1943
    0.1100     -19951.2294     46.6923      406.4216     -0.7787    1.1943
    0.1200     -19947.1652     46.6830      406.4216     -1.0703    1.1943
    0.1300     -19943.1010     46.6733      406.4216     -0.8684    1.1943
    0.1400     -19939.0368     46.6632      406.4216     -1.1521    1.1943
    0.1500     -19934.9725     46.6527      406.4216     -0.9502    1.1943
    0.1600     -19930.9083     46.6418      406.4216     -1.2265    1.1943
    0.1700     -19926.8441     46.6306      406.4216     -1.0246    1.1943
    0.1800     -19922.7799     46.6190      406.4216     -1.2938    1.1943
    0.1900     -19918.7157     46.6071      406.4216     -1.0919    1.1943
    0.2000     -19914.6515     46.5948      406.4216     -1.3546    1.1943
    0.2100     -19910.5873     46.5823      406.4215     -1.1527    1.1943
    0.2200     -19906.5230     46.5695      406.4215     -1.4090    1.1943
    0.2300     -19902.4588     46.5564      406.4215     -1.2071    1.1943
    0.2400     -19898.3946     46.5431      406.4215     -1.4576    1.1943
    0.2500     -19894.3304     46.5295      406.4215     -1.2557    1.1943
    0.2600     -19890.2662     46.5157      406.4215     -1.5005    1.1943
    0.2700     -19886.2020     46.5017      406.4215     -1.2986    1.1943
    0.2800     -19882.1377     46.4876      406.4215     -1.5382    1.1943
    0.2900     -19878.0735     46.4732      406.4215     -1.3363    1.1943
    0.3000     -19874.0093     46.4587      406.4215     -1.5710    1.1943
    0.3100     -19869.9451     46.4440      406.4215     -1.3691    1.1943
    0.3200     -19865.8809     46.4291      406.4215     -1.5991    1.1943
    0.3300     -19861.8167     46.4141      406.4215     -1.3972    1.1943
    0.3400     -19857.7525     46.3990      406.4215     -1.6228    1.1943
    0.3500     -19853.6882     46.3838      406.4215     -1.4209    1.1943
    0.3600     -19849.6240     46.3685      406.4215     -1.6424    1.1943
    0.3700     -19845.5598     46.3531      406.4215     -1.4405    1.1943
    0.3800     -19841.4956     46.3376      406.4215     -1.6582    1.1943
    0.3900     -19837.4314     46.3220      406.4215     -1.4563    1.1943
    0.4000     -19833.3672     46.3064      406.4215     -1.6704    1.1943
    0.4100     -19829.3030     46.2907      406.4214     -1.4685    1.1943
    0.4200     -19825.2387     46.2750      406.4214     -1.6792    1.1943
    0.4300     -19821.1745     46.2592      406.4214     -1.4773    1.1943
    0.4400     -19817.1103     46.2434      406.4214     -1.6848    1.1943
    0.4500     -19813.0461     46.2275      406.4214     -1.4829    1.1943
    0.4600     -19808.9819     46.2117      406.4214     -1.6875    1.1943
    0.4700     -19804.9177     46.1958      406.4214     -1.4856    1.1943
    0.4800     -19800.8535     46.1799      406.4214     -1.6874    1.1943
    0.4900     -19796.7892     46.1641      406.4214     -1.4855    1.1943
    0.5000     -19792.7250     46.1482      406.4214     -1.6848    1.1943
    0.5100     -19788.6608     46.1324      406.4214     -1.4829    1.1943
    0.5200     -19784.5966     46.1166      406.4214     -1.6797    1.1943
    0.5300     -19780.5324     46.1008      406.4214     -1.4778    1.1943
    0.5400     -19776.4682     46.0850      406.4214     -1.6725    1.1943
    0.5500     -19772.4040     46.0693      406.4214     -1.4706    1.1943
    0.5600     -19768.3397     46.0536      406.4214     -1.6633    1.1943
    0.5700     -19764.2755     46.0380      406.4214     -1.4614    1.1943
    0.5800     -19760.2113     46.0225      406.4213     -1.6521    1.1943
    0.5900     -19756.1471     46.0069      406.4213     -1.4502    1.1943
    0.6000     -19752.0829     45.9915      406.4213     -1.6392    1.1943
    0.6100     -19748.0187     45.9761      406.4213     -1.4373    1.1943
    0.6200     -19743.9545     45.9608      406.4213     -1.6247    1.1943
    0.6300     -19739.8902     45.9456      406.4213     -1.4228    1.1943
    0.6400     -19735.8260     45.9304      406.4213     -1.6087    1.1943
    0.6500     -19731.7618     45.9153      406.4213     -1.4068    1.1943
    0.6600     -19727.6976     45.9003      406.4213     -1.5914    1.1943
    0.6700     -19723.6334     45.8854      406.4213     -1.3895    1.1943
    0.6800     -19719.5692     45.8706      406.4213     -1.5728    1.1943
    0.6900     -19715.5050     45.8559      406.4213     -1.3709    1.1943
    0.7000     -19711.4408     45.8413      406.4213     -1.5531    1.1943
    0.7100     -19707.3765     45.8268      406.4213     -1.3512    1.1943
    0.7200     -19703.3123     45.8123      406.4213     -1.5324    1.1943
    0.7300     -19699.2481     45.7980      406.4213     -1.3305    1.1943
    0.7400     -19695.1839     45.7838      406.4213     -1.5108    1.1943
    0.7500     -19691.1197     45.7697      406.4213     -1.3089    1.1943
    0.7600     -19687.0555     45.7557      406.4213     -1.4883    1.1943
    0.7700     -19682.9913     45.7419      406.4213     -1.2864    1.1943
    0.7800     -19678.9271     45.7281      406.4213     -1.4652    1.1943
    0.7900     -19674.8628     45.7145      406.4212     -1.2633    1.1943
    0.8000     -19670.7986     45.7009      406.4212     -1.4413    1.1943
    0.8100     -19666.7344     45.6875      406.4212     -1.2394    1.1943
    0.8200     -19662.6702     45.6743      406.4212     -1.4169    1.1943
    0.8300     -19658.6060     45.6611      406.4212     -1.2150    1.1943
    0.8400     -19654.5418     45.6481      406.4212     -1.3921    1.1943
    0.8500     -19650.4776     45.6352      406.4212     -1.1902    1.1943
    0.8600     -19646.4134     45.6224      406.4212     -1.3667    1.1943
    0.8700     -19642.3491     45.6097      406.4212     -1.1648    1.1943
    0.8800     -19638.2849     45.5972      406.4212     -1.3411    1.1943
    0.8900     -19634.2207     45.5848      406.4212     -1.1392    1.1943
    0.9000     -19630.1565     45.5725      406.4212     -1.3151    1.1943
    0.9100     -19626.0923     45.5604      406.4212     -1.1132    1.1943
    0.9200     -19622.0281     45.5484      406.4212     -1.2889    1.1943
    0.9300     -19617.9639     45.5365      406.4212     -1.0870    1.1943
    0.9400     -19613.8997     45.5247      406.4212     -1.2625    1.1943
    0.9500     -19609.8354     45.5131      406.4212     -1.0606    1.1943
    0.9600     -19605.7712     45.5016      406.4212     -1.2360    1.1943
    0.9700     -19601.7070     45.4903      406.4212     -1.0341    1.1943
    0.9800     -19597.6428     45.4791      406.4212     -1.2094    1.1943
    0.9900     -19593.5786     45.4680      406.4212     -1.0075    1.1943
    1.0000     -19589.5144     45.4570      406.4212     -1.1827    1.1943
    1.0100     -19585.4502     45.4462      406.4212     -0.9808    1.1943
    1.0200     -19581.3860     45.4355      406.4212     -1.1560    1.1943
    1.0300     -19577.3218     45.4250      406.4212     -0.9541    1.1943
    1.0400     -19573.2575     45.4146      406.4212     -1.1294    1.1943
    1.0500     -19569.1933     45.4043      406.4212     -0.9275    1.1943
