========================================================================
  CRUISE-ONLY BATCH RUN #13
========================================================================
  cruise_altitude_m      : 49.09
  cruise_speed_mach      : 1.3655
  cruise_speed_mps       : 464.67
  sea_state              : 3
  radar_altimeter_bias_m : -1.7714
  air_temp_c             : 21.00
  termination            : reached_target
  total_steps            : 4305
========================================================================

       t_s             x_m         z_m            vx          vz      mach
------------------------------------------------------------------------
    0.0000     -19995.3533     47.3240      464.6734      0.2019    1.3655
    0.0100     -19990.7065     47.3250      464.6734      0.0164    1.3655
    0.0200     -19986.0598     47.3262      464.6734      0.2183    1.3655
    0.0300     -19981.4131     47.3275      464.6734      0.0319    1.3655
    0.0400     -19976.7663     47.3288      464.6734      0.2338    1.3655
    0.0500     -19972.1196     47.3302      464.6734      0.0465    1.3655
    0.0600     -19967.4729     47.3317      464.6734      0.2484    1.3655
    0.0700     -19962.8261     47.3332      464.6734      0.0603    1.3655
    0.0800     -19958.1794     47.3348      464.6734      0.2622    1.3655
    0.0900     -19953.5327     47.3365      464.6734      0.0732    1.3655
    0.1000     -19948.8859     47.3383      464.6734      0.2751    1.3655
    0.1100     -19944.2392     47.3401      464.6734      0.0853    1.3655
    0.1200     -19939.5925     47.3419      464.6734      0.2872    1.3655
    0.1300     -19934.9457     47.3438      464.6734      0.0967    1.3655
    0.1400     -19930.2990     47.3458      464.6734      0.2986    1.3655
    0.1500     -19925.6523     47.3478      464.6734      0.1073    1.3655
    0.1600     -19921.0055     47.3499      464.6734      0.3092    1.3655
    0.1700     -19916.3588     47.3521      464.6734      0.1173    1.3655
    0.1800     -19911.7121     47.3542      464.6734      0.3192    1.3655
    0.1900     -19907.0653     47.3565      464.6734      0.1266    1.3655
    0.2000     -19902.4186     47.3587      464.6734      0.3285    1.3655
    0.2100     -19897.7719     47.3611      464.6734      0.1352    1.3655
    0.2200     -19893.1251     47.3634      464.6734      0.3371    1.3655
    0.2300     -19888.4784     47.3658      464.6734      0.1433    1.3655
    0.2400     -19883.8317     47.3683      464.6734      0.3452    1.3655
    0.2500     -19879.1849     47.3707      464.6734      0.1509    1.3655
    0.2600     -19874.5382     47.3733      464.6734      0.3528    1.3655
    0.2700     -19869.8915     47.3758      464.6734      0.1578    1.3655
    0.2800     -19865.2447     47.3784      464.6734      0.3597    1.3655
    0.2900     -19860.5980     47.3810      464.6734      0.1643    1.3655
    0.3000     -19855.9513     47.3837      464.6734      0.3662    1.3655
    0.3100     -19851.3045     47.3864      464.6734      0.1703    1.3655
    0.3200     -19846.6578     47.3891      464.6734      0.3722    1.3655
    0.3300     -19842.0110     47.3918      464.6734      0.1758    1.3655
    0.3400     -19837.3643     47.3946      464.6734      0.3777    1.3655
    0.3500     -19832.7176     47.3974      464.6734      0.1809    1.3655
    0.3600     -19828.0708     47.4002      464.6734      0.3828    1.3655
    0.3700     -19823.4241     47.4030      464.6734      0.1856    1.3655
    0.3800     -19818.7774     47.4059      464.6734      0.3875    1.3655
    0.3900     -19814.1306     47.4088      464.6734      0.1898    1.3655
    0.4000     -19809.4839     47.4117      464.6734      0.3917    1.3655
    0.4100     -19804.8372     47.4146      464.6734      0.1937    1.3655
    0.4200     -19800.1904     47.4176      464.6734      0.3956    1.3655
    0.4300     -19795.5437     47.4205      464.6734      0.1972    1.3655
    0.4400     -19790.8970     47.4235      464.6734      0.3991    1.3655
    0.4500     -19786.2502     47.4265      464.6734      0.2004    1.3655
