========================================================================
  CRUISE-ONLY BATCH RUN #01
========================================================================
  cruise_altitude_m      : 53.38
  cruise_speed_mach      : 2.1021
  cruise_speed_mps       : 715.31
  sea_state              : 7
  radar_altimeter_bias_m : -0.3567
  air_temp_c             : 15.91
  termination            : reached_target
  total_steps            : 2796
========================================================================

       t_s             x_m         z_m            vx          vz      mach
------------------------------------------------------------------------
    0.0000     -19992.8469     53.0251      715.3113      0.2019    2.1021
    0.0100     -19985.6938     53.0257      715.3113     -0.0858    2.1021
    0.0200     -19978.5407     53.0259      715.3113      0.1161    2.1021
    0.0300     -19971.3875     53.0256      715.3113     -0.1653    2.1021
    0.0400     -19964.2344     53.0250      715.3113      0.0366    2.1021
    0.0500     -19957.0813     53.0240      715.3113     -0.2390    2.1021
    0.0600     -19949.9282     53.0226      715.3113     -0.0371    2.1021
    0.0700     -19942.7751     53.0209      715.3113     -0.3070    2.1021
    0.0800     -19935.6220     53.0188      715.3113     -0.1051    2.1021
    0.0900     -19928.4689     53.0164      715.3113     -0.3698    2.1021
    0.1000     -19921.3158     53.0137      715.3113     -0.1679    2.1021
    0.1100     -19914.1626     53.0108      715.3113     -0.4275    2.1021
    0.1200     -19907.0095     53.0075      715.3113     -0.2256    2.1021
    0.1300     -19899.8564     53.0040      715.3113     -0.4805    2.1021
    0.1400     -19892.7033     53.0002      715.3113     -0.2786    2.1021
    0.1500     -19885.5502     52.9961      715.3113     -0.5290    2.1021
    0.1600     -19878.3971     52.9918      715.3113     -0.3271    2.1021
    0.1700     -19871.2440     52.9873      715.3113     -0.5732    2.1021
    0.1800     -19864.0908     52.9826      715.3113     -0.3713    2.1021
    0.1900     -19856.9377     52.9777      715.3113     -0.6134    2.1021
    0.2000     -19849.7846     52.9726      715.3113     -0.4115    2.1021
    0.2100     -19842.6315     52.9673      715.3113     -0.6497    2.1021
    0.2200     -19835.4784     52.9618      715.3113     -0.4478    2.1021
    0.2300     -19828.3253     52.9561      715.3113     -0.6825    2.1021
    0.2400     -19821.1722     52.9503      715.3113     -0.4806    2.1021
    0.2500     -19814.0191     52.9443      715.3113     -0.7118    2.1021
    0.2600     -19806.8659     52.9382      715.3113     -0.5099    2.1021
    0.2700     -19799.7128     52.9320      715.3113     -0.7380    2.1021
    0.2800     -19792.5597     52.9256      715.3113     -0.5361    2.1021
    0.2900     -19785.4066     52.9191      715.3113     -0.7611    2.1021
    0.3000     -19778.2535     52.9125      715.3113     -0.5592    2.1021
    0.3100     -19771.1004     52.9058      715.3113     -0.7813    2.1021
    0.3200     -19763.9473     52.8990      715.3113     -0.5794    2.1021
    0.3300     -19756.7941     52.8921      715.3113     -0.7989    2.1021
    0.3400     -19749.6410     52.8852      715.3113     -0.5970    2.1021
    0.3500     -19742.4879     52.8781      715.3113     -0.8140    2.1021
    0.3600     -19735.3348     52.8710      715.3113     -0.6121    2.1021
    0.3700     -19728.1817     52.8638      715.3113     -0.8267    2.1021
    0.3800     -19721.0286     52.8565      715.3113     -0.6248    2.1021
    0.3900     -19713.8755     52.8492      715.3113     -0.8371    2.1021
    0.4000     -19706.7224     52.8419      715.3113     -0.6352    2.1021
    0.4100     -19699.5692     52.8345      715.3113     -0.8455    2.1021
    0.4200     -19692.4161     52.8270      715.3113     -0.6436    2.1021
    0.4300     -19685.2630     52.8195      715.3113     -0.8519    2.1021
    0.4400     -19678.1099     52.8120      715.3113     -0.6500    2.1021
    0.4500     -19670.9568     52.8045      715.3113     -0.8565    2.1021
    0.4600     -19663.8037     52.7969      715.3113     -0.6546    2.1021
    0.4700     -19656.6506     52.7894      715.3113     -0.8594    2.1021
    0.4800     -19649.4974     52.7818      715.3113     -0.6575    2.1021
    0.4900     -19642.3443     52.7742      715.3113     -0.8607    2.1021
    0.5000     -19635.1912     52.7666      715.3113     -0.6588    2.1021
    0.5100     -19628.0381     52.7590      715.3113     -0.8605    2.1021
    0.5200     -19620.8850     52.7514      715.3113     -0.6586    2.1021
    0.5300     -19613.7319     52.7438      715.3113     -0.8589    2.1021
    0.5400     -19606.5788     52.7362      715.3113     -0.6570    2.1021
    0.5500     -19599.4257     52.7287      715.3113     -0.8561    2.1021
    0.5600     -19592.2725     52.7211      715.3113     -0.6542    2.1021
    0.5700     -19585.1194     52.7136      715.3113     -0.8520    2.1021
    0.5800     -19577.9663     52.7061      715.3113     -0.6501    2.1021
    0.5900     -19570.8132     52.6986      715.3113     -0.8469    2.1021
    0.6000     -19563.6601     52.6911      715.3113     -0.6450    2.1021
    0.6100     -19556.5070     52.6837      715.3113     -0.8407    2.1021
    0.6200     -19549.3539     52.6763      715.3113     -0.6388    2.1021
    0.6300     -19542.2007     52.6689      715.3113     -0.8336    2.1021
    0.6400     -19535.0476     52.6616      715.3113     -0.6317    2.1021
    0.6500     -19527.8945     52.6543      715.3113     -0.8256    2.1021
    0.6600     -19520.7414     52.6471      715.3113     -0.6237    2.1021
    0.6700     -19513.5883     52.6399      715.3113     -0.8169    2.1021
    0.6800     -19506.4352     52.6327      715.3113     -0.6150    2.1021
    0.6900     -19499.2821     52.6256      715.3113     -0.8074    2.1021
    0.7000     -19492.1290     52.6185      715.3113     -0.6055    2.1021
    0.7100     -19484.9758     52.6115      715.3113     -0.7972    2.1021
    0.7200     -19477.8227     52.6046      715.3113     -0.5953    2.1021
    0.7300     -19470.6696     52.5977      715.3113     -0.7865    2.1021
    0.7400     -19463.5165     52.5908      715.3113     -0.5846    2.1021
    0.7500     -19456.3634     52.5840      715.3113     -0.7752    2.1021
    0.7600     -19449.2103     52.5773      715.3113     -0.5733    2.1021
    0.7700     -19442.0572     52.5706      715.3113     -0.7634    2.1021
    0.7800     -19434.9040     52.5639      715.3113     -0.5615    2.1021
    0.7900     -19427.7509     52.5574      715.3113     -0.7512    2.1021
    0.8000     -19420.5978     52.5509      715.3113     -0.5493    2.1021
    0.8100     -19413.4447     52.5444      715.3113     -0.7386    2.1021
    0.8200     -19406.2916     52.5381      715.3113     -0.5367    2.1021
    0.8300     -19399.1385     52.5318      715.3113     -0.7256    2.1021
    0.8400     -19391.9854     52.5255      715.3113     -0.5237    2.1021
    0.8500     -19384.8323     52.5193      715.3113     -0.7124    2.1021
    0.8600     -19377.6791     52.5132      715.3113     -0.5105    2.1021
    0.8700     -19370.5260     52.5072      715.3113     -0.6989    2.1021
    0.8800     -19363.3729     52.5012      715.3113     -0.4970    2.1021
    0.8900     -19356.2198     52.4953      715.3113     -0.6851    2.1021
    0.9000     -19349.0667     52.4894      715.3113     -0.4832    2.1021
    0.9100     -19341.9136     52.4837      715.3113     -0.6712    2.1021
    0.9200     -19334.7605     52.4780      715.3113     -0.4693    2.1021
    0.9300     -19327.6074     52.4723      715.3113     -0.6571    2.1021
    0.9400     -19320.4542     52.4668      715.3113     -0.4552    2.1021
    0.9500     -19313.3011     52.4613      715.3113     -0.6429    2.1021
