========================================================================
  CRUISE-ONLY BATCH RUN #14
========================================================================
  cruise_altitude_m      : 21.62
  cruise_speed_mach      : 3.3642
  cruise_speed_mps       : 1144.81
  sea_state              : 3
  radar_altimeter_bias_m : 0.2937
  air_temp_c             : -14.09
  termination            : reached_target
  total_steps            : 1748
========================================================================

       t_s             x_m         z_m            vx          vz      mach
------------------------------------------------------------------------
    0.0000     -19988.5519     21.9129     1144.8138     -0.3981    3.3642
    0.0100     -19977.1037     21.9099     1144.8138     -0.1962    3.3642
    0.0200     -19965.6556     21.9064     1144.8138     -0.5017    3.3642
    0.0300     -19954.2074     21.9024     1144.8138     -0.2998    3.3642
    0.0400     -19942.7593     21.8979     1144.8138     -0.5973    3.3642
    0.0500     -19931.3112     21.8930     1144.8138     -0.3954    3.3642
    0.0600     -19919.8630     21.8876     1144.8138     -0.6853    3.3642
    0.0700     -19908.4149     21.8817     1144.8138     -0.4834    3.3642
    0.0800     -19896.9668     21.8755     1144.8138     -0.7661    3.3642
    0.0900     -19885.5186     21.8688     1144.8138     -0.5642    3.3642
    0.1000     -19874.0705     21.8618     1144.8138     -0.8400    3.3642
    0.1100     -19862.6223     21.8544     1144.8138     -0.6381    3.3642
    0.1200     -19851.1742     21.8467     1144.8138     -0.9076    3.3642
    0.1300     -19839.7261     21.8386     1144.8138     -0.7057    3.3642
    0.1400     -19828.2779     21.8302     1144.8138     -0.9690    3.3642
    0.1500     -19816.8298     21.8216     1144.8138     -0.7671    3.3642
    0.1600     -19805.3817     21.8126     1144.8138     -1.0246    3.3642
    0.1700     -19793.9335     21.8034     1144.8138     -0.8227    3.3642
    0.1800     -19782.4854     21.7939     1144.8138     -1.0748    3.3642
    0.1900     -19771.0372     21.7841     1144.8138     -0.8729    3.3642
    0.2000     -19759.5891     21.7742     1144.8138     -1.1198    3.3642
    0.2100     -19748.1410     21.7640     1144.8138     -0.9179    3.3642
    0.2200     -19736.6928     21.7536     1144.8138     -1.1600    3.3642
    0.2300     -19725.2447     21.7430     1144.8138     -0.9581    3.3642
    0.2400     -19713.7966     21.7322     1144.8138     -1.1956    3.3642
    0.2500     -19702.3484     21.7213     1144.8138     -0.9937    3.3642
    0.2600     -19690.9003     21.7102     1144.8138     -1.2268    3.3642
    0.2700     -19679.4521     21.6989     1144.8138     -1.0249    3.3642
    0.2800     -19668.0040     21.6875     1144.8138     -1.2540    3.3642
    0.2900     -19656.5559     21.6760     1144.8138     -1.0521    3.3642
    0.3000     -19645.1077     21.6644     1144.8138     -1.2774    3.3642
    0.3100     -19633.6596     21.6526     1144.8138     -1.0755    3.3642
    0.3200     -19622.2114     21.6407     1144.8138     -1.2972    3.3642
    0.3300     -19610.7633     21.6288     1144.8138     -1.0953    3.3642
    0.3400     -19599.3152     21.6167     1144.8138     -1.3136    3.3642
    0.3500     -19587.8670     21.6046     1144.8138     -1.1117    3.3642
    0.3600     -19576.4189     21.5924     1144.8138     -1.3268    3.3642
    0.3700     -19564.9708     21.5801     1144.8138     -1.1249    3.3642
    0.3800     -19553.5226     21.5678     1144.8138     -1.3371    3.3642
    0.3900     -19542.0745     21.5555     1144.8138     -1.1352    3.3642
    0.4000     -19530.6263     21.5431     1144.8138     -1.3446    3.3642
    0.4100     -19519.1782     21.5306     1144.8138     -1.1427    3.3642
    0.4200     -19507.7301     21.5182     1144.8138     -1.3495    3.3642
    0.4300     -19496.2819     21.5057     1144.8138     -1.1476    3.3642
    0.4400     -19484.8338     21.4932     1144.8138     -1.3520    3.3642
    0.4500     -19473.3857     21.4807     1144.8138     -1.1501    3.3642
    0.4600     -19461.9375     21.4682     1144.8138     -1.3522    3.3642
    0.4700     -19450.4894     21.4557     1144.8138     -1.1503    3.3642
    0.4800     -19439.0412     21.4432     1144.8138     -1.3503    3.3642
    0.4900     -19427.5931     21.4307     1144.8138     -1.1484    3.3642
    0.5000     -19416.1450     21.4182     1144.8138     -1.3464    3.3642
    0.5100     -19404.6968     21.4057     1144.8138     -1.1445    3.3642
    0.5200     -19393.2487     21.3933     1144.8138     -1.3408    3.3642
    0.5300     -19381.8006     21.3809     1144.8138     -1.1389    3.3642
    0.5400     -19370.3524     21.3685     1144.8138     -1.3334    3.3642
    0.5500     -19358.9043     21.3562     1144.8138     -1.1315    3.3642
    0.5600     -19347.4561     21.3439     1144.8138     -1.3245    3.3642
    0.5700     -19336.0080     21.3317     1144.8138     -1.1226    3.3642
    0.5800     -19324.5599     21.3195     1144.8137     -1.3142    3.3642
    0.5900     -19313.1117     21.3074     1144.8137     -1.1123    3.3642
    0.6000     -19301.6636     21.2953     1144.8137     -1.3025    3.3642
    0.6100     -19290.2155     21.2833     1144.8137     -1.1006    3.3642
    0.6200     -19278.7673     21.2713     1144.8137     -1.2896    3.3642
    0.6300     -19267.3192     21.2595     1144.8137     -1.0877    3.3642
    0.6400     -19255.8710     21.2476     1144.8137     -1.2756    3.3642
    0.6500     -19244.4229     21.2359     1144.8137     -1.0737    3.3642
    0.6600     -19232.9748     21.2242     1144.8137     -1.2606    3.3642
    0.6700     -19221.5266     21.2126     1144.8137     -1.0587    3.3642
    0.6800     -19210.0785     21.2011     1144.8137     -1.2447    3.3642
    0.6900     -19198.6304     21.1897     1144.8137     -1.0428    3.3642
    0.7000     -19187.1822     21.1783     1144.8137     -1.2279    3.3642
    0.7100     -19175.7341     21.1671     1144.8137     -1.0260    3.3642
    0.7200     -19164.2859     21.1559     1144.8137     -1.2104    3.3642
    0.7300     -19152.8378     21.1448     1144.8137     -1.0085    3.3642
    0.7400     -19141.3897     21.1338     1144.8137     -1.1922    3.3642
    0.7500     -19129.9415     21.1229     1144.8137     -0.9903    3.3642
    0.7600     -19118.4934     21.1120     1144.8137     -1.1734    3.3642
    0.7700     -19107.0453     21.1013     1144.8137     -0.9715    3.3642
    0.7800     -19095.5971     21.0907     1144.8137     -1.1540    3.3642
    0.7900     -19084.1490     21.0802     1144.8137     -0.9521    3.3642
    0.8000     -19072.7008     21.0697     1144.8137     -1.1342    3.3642
    0.8100     -19061.2527     21.0594     1144.8137     -0.9323    3.3642
    0.8200     -19049.8046     21.0492     1144.8137     -1.1140    3.3642
    0.8300     -19038.3564     21.0390     1144.8137     -0.9121    3.3642
    0.8400     -19026.9083     21.0290     1144.8137     -1.0934    3.3642
    0.8500     -19015.4602     21.0191     1144.8137     -0.8915    3.3642
    0.8600     -19004.0120     21.0093     1144.8137     -1.0726    3.3642
    0.8700     -18992.5639     20.9995     1144.8137     -0.8707    3.3642
    0.8800     -18981.1157     20.9899     1144.8137     -1.0515    3.3642
    0.8900     -18969.6676     20.9804     1144.8137     -0.8496    3.3642
    0.9000     -18958.2195     20.9710     1144.8137     -1.0301    3.3642
    0.9100     -18946.7713     20.9617     1144.8137     -0.8282    3.3642
    0.9200     -18935.3232     20.9526     1144.8137     -1.0087    3.3642
    0.9300     -18923.8751     20.9435     1144.8137     -0.8068    3.3642
    0.9400     -18912.4269     20.9345     1144.8137     -0.9871    3.3642
